# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381676922073e-10       4.179730664567e-15       3.519335898546e-13       2.309814839064e-19       8.236345715484e-09       4.535748655438e-10      -1.842359971483e-12 
    3       1.306696050644e-10       5.354811893491e-15       3.955014342064e-13       4.620580409748e-19       5.068763597778e-09       3.217369154938e-10      -1.394920075648e-12 
    4       1.236017474586e-10       4.629636484021e-15       3.698082815636e-13       7.703061003309e-19       3.524743959263e-09       2.436997857927e-10      -9.127421857635e-13 
    5       1.183100275113e-10       3.087195288368e-15       3.148766270343e-13       1.155847170446e-18       2.631980820294e-09       1.925368525815e-10      -5.069340914643e-13 
    6       1.146812950375e-10       1.726131530524e-15       2.535645249932e-13       1.618828742293e-18       2.056887114197e-09       1.566785141488e-10      -2.081013463412e-13 
    7       1.123168400508e-10       9.336982151493e-16       1.990688070272e-13       2.159421557262e-18       1.660291803439e-09       1.303589812185e-10      -1.764541688822e-14 
    8       1.109367214825e-10       6.038792820564e-16       1.571588739721e-13       2.777816517125e-18       1.372925902204e-09       1.103958592899e-10       7.941422178616e-14 
    9       1.102928438859e-10       4.859033303213e-16       1.291080806329e-13       3.474221327541e-18       1.156601753761e-09       9.490323825684e-11       1.064376999485e-13 
   10       1.101544649381e-10       4.150001788028e-16       1.135879839933e-13       4.248856973062e-18       9.888512733596e-10       8.262925872292e-11       8.927909804014e-14 
   11       1.104629033375e-10       3.497497166316e-16       1.079365493883e-13       5.101954124605e-18       8.333804337332e-10       7.300890478750e-11       5.203124929130e-14 
   12       1.110664366063e-10       3.057951433726e-16       1.090961000076e-13       6.033749579855e-18       7.283489590686e-10       6.455586167159e-11       1.227599630793e-14 
   13       1.119147566366e-10       2.941346296500e-16       1.143823505644e-13       7.044482833128e-18       6.421078082299e-10       5.769182789313e-11      -1.798989760025e-14 
   14       1.129605342743e-10       3.068007351010e-16       1.217750422409e-13       8.134392863932e-18       5.703409159936e-10       5.171510398772e-11      -3.451240734620e-14 
   15       1.141904010498e-10       3.320504838440e-16       1.299846568821e-13       9.303715223283e-18       5.099194133766e-10       4.668819785546e-11      -3.750083237488e-14 
   16       1.155290792444e-10       3.673604415476e-16       1.383481462854e-13       1.055267948398e-17       4.585371756284e-10       4.235496816918e-11      -3.091279892492e-14 
   17       1.170041617993e-10       4.182597556272e-16       1.466476885694e-13       1.188150710621e-17       4.144517857253e-10       3.857283733957e-11      -1.994046106344e-14 
   18       1.185524750539e-10       4.901787603839e-16       1.551403425518e-13       1.329040957282e-17       3.761812867130e-10       3.527412534487e-11      -9.473326934204e-15 
   19       1.201852680445e-10       5.834449651530e-16       1.640479904621e-13       1.477958807587e-17       3.431210243185e-10       3.241157096393e-11      -2.116915704517e-15 
   20       1.218952842197e-10       6.960575459377e-16       1.735112421068e-13       1.634923076465e-17       3.139983640629e-10       2.986963992921e-11       4.178950611157e-16 
   21       1.236840116362e-10       8.273741836120e-16       1.834830205093e-13       1.799951524708e-17       2.883573023668e-10       2.760243577936e-11      -1.297255957968e-15 
   22       1.255253977316e-10       9.769047757783e-16       1.937766148924e-13       1.973060557154e-17       2.655859213097e-10       2.555359994146e-11      -5.508496646903e-15 
   23       1.274243149688e-10       1.144848274245e-15       2.040647638963e-13       2.154265614660e-17       2.453721979242e-10       2.371506539791e-11      -1.047337354514e-14 
   24       1.293744014580e-10       1.331435492212e-15       2.139326706254e-13       2.343580867039e-17       2.272498696015e-10       2.207081453838e-11      -1.433778041730e-14 
   25       1.313776112793e-10       1.536752493775e-15       2.230926170818e-13       2.541019771146e-17       2.110064530035e-10       2.060007437769e-11      -1.626983943018e-14 
   26       1.334226997320e-10       1.761074088623e-15       2.312981866205e-13       2.746594700736e-17       1.963485930984e-10       1.926616049707e-11      -1.593290617791e-14 
