# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319832634262e-10       6.278157528360e-15       4.008052182524e-13       0.000000000000e+00       8.040342659107e-09       4.664456294036e-10      -2.160369242452e-12 
    3       1.248453787492e-10       9.845231495786e-15       4.955335874982e-13       0.000000000000e+00       4.997168267109e-09       3.332552864244e-10      -1.838362599845e-12 
    4       1.178472207431e-10       1.057199203170e-14       5.026238067422e-13       0.000000000000e+00       3.495609450363e-09       2.542415730246e-10      -1.399211258145e-12 
    5       1.124485355558e-10       8.920806314024e-15       4.608401814271e-13       0.000000000000e+00       2.622050711827e-09       2.021745762666e-10      -9.732479274629e-13 
    6       1.086019204405e-10       6.247881361348e-15       3.964554193523e-13       0.000000000000e+00       2.056987999694e-09       1.653874700012e-10      -6.054530826986e-13 
    7       1.060135849526e-10       3.784982214201e-15       3.270814242543e-13       0.000000000000e+00       1.665844169255e-09       1.381700494555e-10      -3.150769962657e-13 
    8       1.044873771342e-10       2.134661483723e-15       2.629485902993e-13       0.000000000000e+00       1.381563773775e-09       1.173876102063e-10      -1.063790620228e-13 
    9       1.036903278933e-10       1.304011997498e-15       2.098328337488e-13       0.000000000000e+00       1.166952919240e-09       1.011301552504e-10       2.611817884654e-14 
   10       1.035092526235e-10       9.949393712906e-16       1.702951246535e-13       0.000000000000e+00       1.000064536547e-09       8.814182268229e-11       9.434789114502e-14 
   11       1.037765199637e-10       8.923817183014e-16       1.444327472186e-13       0.000000000000e+00       8.440902419273e-10       7.783431820154e-11       1.135904796252e-13 
   12       1.043843367099e-10       8.138437994406e-16       1.307569677885e-13       0.000000000000e+00       7.391365933212e-10       6.882457706977e-11       1.003007395410e-13 
   13       1.052686250811e-10       7.158582511235e-16       1.267716390306e-13       0.000000000000e+00       6.527780897011e-10       6.151850816859e-11       6.965237714506e-14 
   14       1.063926671381e-10       6.265507475943e-16       1.296198177094e-13       0.000000000000e+00       5.807834718745e-10       5.538064657798e-11       3.321956392707e-14 
   15       1.076790184464e-10       5.779811803120e-16       1.365508414678e-13       0.000000000000e+00       5.200648369868e-10       5.005005568023e-11      -4.884624935380e-16 
   16       1.091000573288e-10       5.759473652575e-16       1.452417813127e-13       0.000000000000e+00       4.683426782756e-10       4.545818151411e-11      -2.610541452783e-14 
   17       1.106306395421e-10       6.048671654166e-16       1.541215126140e-13       0.000000000000e+00       4.238956536261e-10       4.147067269144e-11      -4.160369871781e-14 
   18       1.122840083684e-10       6.450743584468e-16       1.623277594768e-13       0.000000000000e+00       3.852547252973e-10       3.800481763583e-11      -4.739937335742e-14 
   19       1.140494354044e-10       6.926406169021e-16       1.696144531131e-13       0.000000000000e+00       3.518265563466e-10       3.499012036208e-11      -4.525763035385e-14 
   20       1.158540961617e-10       7.495639637647e-16       1.759568865685e-13       0.000000000000e+00       3.223417004356e-10       3.227263276915e-11      -3.816728430532e-14 
   21       1.177152842054e-10       8.249051367735e-16       1.817226154343e-13       0.000000000000e+00       2.963490576620e-10       2.982223339185e-11      -2.866549220371e-14 
   22       1.196490021157e-10       9.296626850407e-16       1.874550229297e-13       0.000000000000e+00       2.732378383467e-10       2.761516670880e-11      -1.942919127213e-14 
   23       1.216465597807e-10       1.065877526180e-15       1.934734768067e-13       0.000000000000e+00       2.526982494612e-10       2.565004759680e-11      -1.193111717640e-14 
   24       1.236746466754e-10       1.231685582112e-15       1.999919182601e-13       0.000000000000e+00       2.342634310987e-10       2.390598969483e-11      -7.164314578423e-15 
   25       1.257449877092e-10       1.424652020872e-15       2.069835308290e-13       0.000000000000e+00       2.177217058759e-10       2.235295451268e-11      -5.164104939577e-15 
   26       1.278673203319e-10       1.641752625228e-15       2.142800943317e-13       0.000000000000e+00       2.027787258408e-10       2.094179891171e-11      -5.480577441309e-15 
   27       1.300340805118e-10       1.882226239644e-15       2.216012331718e-13       0.000000000000e+00       1.892596294536e-10       1.964810151377e-11      -7.430059330560e-15 
   28       1.322247557734e-10       2.145798193323e-15       2.285874036812e-13       0.000000000000e+00       1.769359105118e-10       1.844806705395e-11      -1.015081113887e-14 
   29       1.344467341461e-10       2.432408433257e-15       2.349353461434e-13       0.000000000000e+00       1.657469634370e-10       1.734338289648e-11      -1.302223780209e-14 
   30       1.367059747405e-10       2.741849013999e-15       2.403067329128e-13       0.000000000000e+00       1.555747313110e-10       1.633539818773e-11      -1.537668081842e-14 
   31       1.389986590073e-10       3.073994176110e-15       2.443576955558e-13       0.000000000000e+00       1.462143879488e-10       1.541659730222e-11      -1.655896685365e-14 
   32       1.413268131959e-10       3.430165858637e-15       2.469827437019e-13       0.000000000000e+00       1.376193034940e-10       1.457984125496e-11      -1.657140861056e-14 
   33       1.436860280854e-10       3.812300011637e-15       2.481630900914e-13       0.000000000000e+00       1.297304302677e-10       1.381073943550e-11      -1.567717283086e-14 
   34       1.460653595000e-10       4.222470258725e-15       2.479128470229e-13       0.000000000000e+00       1.224393914299e-10       1.309031897243e-11      -1.420866253594e-14 
   35       1.484657724468e-10       4.662384085370e-15       2.463032702424e-13       0.000000000000e+00       1.157098687473e-10       1.241615225153e-11      -1.245123049971e-14 
   36       1.508865224197e-10       5.133728068004e-15       2.434515628995e-13       0.000000000000e+00       1.094887418817e-10       1.178766839580e-11      -1.072872697094e-14 
   37       1.533236719836e-10       5.638099993433e-15       2.394769212431e-13       0.000000000000e+00       1.036960951488e-10       1.120174183576e-11      -9.362610040534e-15 
   38       1.557844852393e-10       6.176297321116e-15       2.343618209844e-13       0.000000000000e+00       9.831761883655e-11       1.065804212149e-11      -8.409371288909e-15 
   39       1.582767960163e-10       6.748785635911e-15       2.280459238345e-13       0.000000000000e+00       9.333689635820e-11       1.015491097338e-11      -7.837624944110e-15 
   40       1.608045647471e-10       7.355875304023e-15       2.204624600019e-13       0.000000000000e+00       8.870728562213e-11       9.687581827447e-12      -7.596473789718e-15 
   41       1.633679428626e-10       7.997813602831e-15       2.115382442880e-13       0.000000000000e+00       8.436831030561e-11       9.249809971234e-12      -7.615980442599e-15 
   42       1.659646018231e-10       8.675123183285e-15       2.011951582123e-13       0.000000000000e+00       8.030760075994e-11       8.840055380025e-12      -7.812416460034e-15 
   43       1.685880591001e-10       9.388355582203e-15       1.893481508528e-13       0.000000000000e+00       7.651467114039e-11       8.456854548920e-12      -8.082165843242e-15 
   44       1.712267710513e-10       1.013799411408e-14       1.759041287063e-13       0.000000000000e+00       7.296231847014e-11       8.096953146098e-12      -8.298525883508e-15 
   45       1.738689218487e-10       1.092448535267e-14       1.607778042341e-13       0.000000000000e+00       6.961642007172e-11       7.756434930024e-12      -8.343510222540e-15 
   46       1.765195007401e-10       1.174835359301e-14       1.439461826930e-13       0.000000000000e+00       6.647195930558e-11       7.434843990516e-12      -8.217836040870e-15 
   47       1.791876060597e-10       1.261011426109e-14       1.254094327407e-13       0.000000000000e+00       6.352550306814e-11       7.132054502513e-12      -7.961479890920e-15 
   48       1.818815516756e-10       1.351024001181e-14       1.051762902933e-13       0.000000000000e+00       6.076433286628e-11       6.847041080884e-12      -7.623876282402e-15 
   49       1.846087415923e-10       1.444915902510e-14       8.326445492464e-14       0.000000000000e+00       5.816575307752e-11       6.577810613648e-12      -7.264453505261e-15 
   50       1.873745718030e-10       1.542721562797e-14       5.969304643443e-14       0.000000000000e+00       5.570397155609e-11       6.322064194189e-12      -6.941521536601e-15 
   51       1.901790753593e-10       1.644454351234e-14       3.445664100496e-14       0.000000000000e+00       5.337454808156e-11       6.079552883130e-12      -6.674136782466e-15 
   52       1.930191498869e-10       1.750115515852e-14       7.544872653987e-15       0.000000000000e+00       5.117538645051e-11       5.850243560936e-12      -6.470812154097e-15 
   53       1.958892836317e-10       1.859697310738e-14      -2.105022067699e-14       0.000000000000e+00       4.909941470684e-11       5.633611709775e-12      -6.340248243250e-15 
   54       1.987813842855e-10       1.973182648361e-14      -5.133417436202e-14       0.000000000000e+00       4.713424974768e-11       5.428607604342e-12      -6.291321007908e-15 
   55       2.016875838416e-10       2.090550891929e-14      -8.331262045701e-14       0.000000000000e+00       4.526599981001e-11       5.233982261623e-12      -6.329660195073e-15 
   56       2.046098612615e-10       2.211797713968e-14      -1.169996440114e-13       0.000000000000e+00       4.349254646614e-11       5.049437565710e-12      -6.446417452128e-15 
   57       2.075525104607e-10       2.336919562066e-14      -1.524114627767e-13       0.000000000000e+00       4.181297469190e-11       4.874702639248e-12      -6.626686403774e-15 
   58       2.105193196970e-10       2.465907844989e-14      -1.895641377311e-13       0.000000000000e+00       4.022355368374e-11       4.709179755349e-12      -6.852525467279e-15 
   59       2.135135163451e-10       2.598748824231e-14      -2.284736495188e-13       0.000000000000e+00       3.871756268078e-11       4.551924544993e-12      -7.102812709770e-15 
   60       2.165377116727e-10       2.735423505564e-14      -2.691559748889e-13       0.000000000000e+00       3.728511678674e-11       4.401626204434e-12      -7.353100705523e-15 
   61       2.195939199149e-10       2.875906971625e-14      -3.116245075934e-13       0.000000000000e+00       3.591592611699e-11       4.256973892374e-12      -7.581116996675e-15 
   62       2.226837454340e-10       3.020166449953e-14      -3.558814716681e-13       0.000000000000e+00       3.460869099219e-11       4.117896802375e-12      -7.785036574797e-15 
   63       2.258081397637e-10       3.168162616880e-14      -4.019247076410e-13       0.000000000000e+00       3.336351611209e-11       3.984568582451e-12      -7.969071961267e-15 
   64       2.289672791980e-10       3.319849994553e-14      -4.497501503340e-13       0.000000000000e+00       3.217908382023e-11       3.857038317446e-12      -8.138222838834e-15 
   65       2.321605119233e-10       3.475176824741e-14      -4.993518210429e-13       0.000000000000e+00       3.105257299817e-11       3.735222989950e-12      -8.298310039636e-15 
   66       2.353863051522e-10       3.634084942658e-14      -5.507218197184e-13       0.000000000000e+00       2.997957795961e-11       3.618899941210e-12      -8.456009533220e-15 
   67       2.386421922556e-10       3.796509650773e-14      -6.038503171471e-13       0.000000000000e+00       2.895402734459e-11       3.507699332040e-12      -8.618886414560e-15 
   68       2.419257445536e-10       3.962377906820e-14      -6.587239453684e-13       0.000000000000e+00       2.796981290396e-11       3.401216244299e-12      -8.793190827376e-15 
   69       2.452378335166e-10       4.131602743529e-14      -7.153206076804e-13       0.000000000000e+00       2.702624039161e-11       3.299390214208e-12      -8.976651154591e-15 
   70       2.485799376366e-10       4.304087486307e-14      -7.736135981259e-13       0.000000000000e+00       2.612354253925e-11       3.202189412277e-12      -9.164274886620e-15 
   71       2.519531500718e-10       4.479727172738e-14      -8.335730622977e-13       0.000000000000e+00       2.526123018671e-11       3.109493408198e-12      -9.350434645698e-15 
   72       2.553581519861e-10       4.658408383278e-14      -8.951659485535e-13       0.000000000000e+00       2.443805490730e-11       3.021088691622e-12      -9.528844934385e-15 
   73       2.587951858880e-10       4.840009071960e-14      -9.583559592312e-13       0.000000000000e+00       2.365197163326e-11       2.936664192930e-12      -9.692538884087e-15 
   74       2.622640289696e-10       5.024398397094e-14      -1.023103501863e-12       0.000000000000e+00       2.290010128108e-11       2.855806804006e-12      -9.833845003562e-15 
   75       2.657639664453e-10       5.211436551964e-14      -1.089365640391e-12       0.000000000000e+00       2.217869337690e-11       2.777996899012e-12      -9.944363927435e-15 
   76       2.692942733058e-10       5.400980228145e-14      -1.157099707744e-12       0.000000000000e+00       2.148406069549e-11       2.702737638893e-12      -1.001690209649e-14 
   77       2.728558199335e-10       5.592900529874e-14      -1.226275011947e-12       0.000000000000e+00       2.081566256070e-11       2.629980008358e-12      -1.005173128713e-14 
   78       2.764497122016e-10       5.787068034041e-14      -1.296863185962e-12       0.000000000000e+00       2.017351850980e-11       2.559767508689e-12      -1.005143359726e-14 
   79       2.800767930611e-10       5.983347394458e-14      -1.368834741571e-12       0.000000000000e+00       1.955726899928e-11       2.492107542213e-12      -1.001906238149e-14 
   80       2.837376263052e-10       6.181597288060e-14      -1.442159095669e-12       0.000000000000e+00       1.896615796211e-11       2.426969676413e-12      -9.958159128059e-15 
   81       2.874324803344e-10       6.381670361103e-14      -1.516804596555e-12       0.000000000000e+00       1.839901536509e-11       2.364283908048e-12      -9.872770335900e-15 
   82       2.911613119203e-10       6.583413175369e-14      -1.592738550235e-12       0.000000000000e+00       1.785423976612e-11       2.303938927268e-12      -9.767464391563e-15 
   83       2.949237499702e-10       6.786666154366e-14      -1.669927246705e-12       0.000000000000e+00       1.732978087156e-11       2.245780381731e-12      -9.647348446227e-15 
   84       2.987193506356e-10       6.991266384774e-14      -1.748333401837e-12       0.000000000000e+00       1.682363990125e-11       2.189651111070e-12      -9.517254616173e-15 
   85       3.025484467921e-10       7.197056672240e-14      -1.827907938147e-12       0.000000000000e+00       1.633550419929e-11       2.135523316398e-12      -9.379106606187e-15 
   86       3.064114102728e-10       7.403877895189e-14      -1.908596883327e-12       0.000000000000e+00       1.586535288671e-11       2.083385220928e-12      -9.234145441436e-15 
   87       3.103083815428e-10       7.611566277327e-14      -1.990343816619e-12       0.000000000000e+00       1.541295453611e-11       2.033200032440e-12      -9.083724202032e-15 
   88       3.142392580235e-10       7.819953381830e-14      -2.073089851676e-12       0.000000000000e+00       1.497785843158e-11       1.984904912787e-12      -8.929310939061e-15 
   89       3.182036824179e-10       8.028866105538e-14      -2.156773619421e-12       0.000000000000e+00       1.455938582867e-11       1.938409947389e-12      -8.772491590619e-15 
   90       3.222010310353e-10       8.238126673140e-14      -2.241331250905e-12       0.000000000000e+00       1.415662121439e-11       1.893597114744e-12      -8.614972897846e-15 
   91       3.262304021159e-10       8.447552631361e-14      -2.326696360166e-12       0.000000000000e+00       1.376840356709e-11       1.850319255918e-12      -8.458585320961e-15 
   92       3.302906041561e-10       8.656956843155e-14      -2.412800027085e-12       0.000000000000e+00       1.339331761650e-11       1.808399044054e-12      -8.305285955293e-15 
   93       3.343805089344e-10       8.866150113487e-14      -2.499573293550e-12       0.000000000000e+00       1.303003074541e-11       1.767671270037e-12      -8.156841037528e-15 
   94       3.385001966835e-10       9.074949531054e-14      -2.586955118605e-12       0.000000000000e+00       1.267838064012e-11       1.728119212732e-12      -8.013812508104e-15 
   95       3.426499623678e-10       9.283171376252e-14      -2.674885593628e-12       0.000000000000e+00       1.233843582438e-11       1.689756968990e-12      -7.876423709958e-15 
   96       3.468299597483e-10       9.490628631276e-14      -2.763303552765e-12       0.000000000000e+00       1.201016065129e-11       1.652587534899e-12      -7.744864754983e-15 
   97       3.510401947140e-10       9.697131010432e-14      -2.852146590283e-12       0.000000000000e+00       1.169341130781e-11       1.616602369882e-12      -7.619291041847e-15 
   98       3.552805186131e-10       9.902484990444e-14      -2.941351077933e-12       0.000000000000e+00       1.138793181929e-11       1.581780960792e-12      -7.499821773817e-15 
   99       3.595506215838e-10       1.010649384078e-13      -3.030852182308e-12       0.000000000000e+00       1.109335005399e-11       1.548090386008e-12      -7.386538476581e-15 
  100       3.638500258851e-10       1.030895765394e-13      -3.120583882196e-12       0.000000000000e+00       1.080917372762e-11       1.515484879527e-12      -7.279483516066e-15 
  101       3.681780792286e-10       1.050967337579e-13      -3.210478985944e-12       0.000000000000e+00       1.053478640788e-11       1.483905395061e-12      -7.178658616262e-15 
  102       3.725339481088e-10       1.070843483588e-13      -3.300469148814e-12       0.000000000000e+00       1.026944351896e-11       1.453279170130e-12      -7.084023377043e-15 
  103       3.769166111346e-10       1.090503277772e-13      -3.390484890340e-12       0.000000000000e+00       1.001226834610e-11       1.423519290160e-12      -6.995493791988e-15 
  104       3.813250669716e-10       1.109926065396e-13      -3.480456007806e-12       0.000000000000e+00       9.762451334437e-12       1.394545278330e-12      -6.912914764949e-15 
