# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319837707161e-10       6.278405486922e-15       4.008052136858e-13       2.479585148960e-19       8.040342659107e-09       4.664456294036e-10      -2.160369242452e-12 
    3       1.248463911254e-10       9.845727581367e-15       4.955335671665e-13       4.960851210146e-19       4.997168267109e-09       3.332552864244e-10      -1.838362599845e-12 
    4       1.178489031959e-10       1.057281921081e-14       5.026237483964e-13       8.271768530452e-19       3.495609450363e-09       2.542415730246e-10      -1.399211258145e-12 
    5       1.124510502918e-10       8.922047765270e-15       4.608400487197e-13       1.241443502767e-18       2.622050711827e-09       2.021745762666e-10      -9.732479274629e-13 
    6       1.086054263146e-10       6.249620517886e-15       3.964551588969e-13       1.739135433261e-18       2.056987999694e-09       1.653874700012e-10      -6.054530826986e-13 
    7       1.060182369796e-10       3.787302799600e-15       3.270809630343e-13       2.320536333228e-18       1.665844169255e-09       1.381700494555e-10      -3.150769962657e-13 
    8       1.044933260890e-10       2.137647540224e-15       2.629478334672e-13       2.985955159061e-18       1.381563773775e-09       1.173876102063e-10      -1.063790620228e-13 
    9       1.036977200061e-10       1.307747905939e-15       2.098316628422e-13       3.735717569029e-18       1.166952919240e-09       1.011301552504e-10       2.611817884654e-14 
   10       1.035182293743e-10       9.995098621616e-16       1.702933962353e-13       4.570157171294e-18       1.000064536547e-09       8.814182268229e-11       9.434789114502e-14 
   11       1.037872179751e-10       8.978718736088e-16       1.444302919371e-13       5.489606911975e-18       8.440902419273e-10       7.783431820154e-11       1.135904796252e-13 
   12       1.043968877365e-10       8.203390453185e-16       1.307535898359e-13       6.494390921058e-18       7.391365933212e-10       6.882457706977e-11       1.003007395410e-13 
   13       1.052831560885e-10       7.234443413551e-16       1.267671159683e-13       7.584817112795e-18       6.527780897011e-10       6.151850816859e-11       6.965237714506e-14 
   14       1.064093004630e-10       6.353137384537e-16       1.296139006151e-13       8.761170804378e-18       5.807834718745e-10       5.538064657798e-11       3.321956392707e-14 
