# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319832634262e-10       6.278157528360e-15       4.008052182524e-13       0.000000000000e+00       8.040341659264e-09       4.664455719871e-10      -2.160369218852e-12 
    3       1.248453787492e-10       9.845231495786e-15       4.955335874982e-13       0.000000000000e+00       4.997166907788e-09       3.332552058859e-10      -1.838362587025e-12 
    4       1.178472207431e-10       1.057199203170e-14       5.026238067422e-13       0.000000000000e+00       3.495607750659e-09       2.542414705789e-10      -1.399211268253e-12 
    5       1.124485355558e-10       8.920806314024e-15       4.608401814271e-13       0.000000000000e+00       2.622048695649e-09       2.021744542455e-10      -9.732479600076e-13 
    6       1.086019204405e-10       6.247881361348e-15       3.964554193523e-13       0.000000000000e+00       2.056985685607e-09       1.653873290349e-10      -6.054531327215e-13 
    7       1.060135849526e-10       3.784982214201e-15       3.270814242543e-13       0.000000000000e+00       1.665841566896e-09       1.381698906897e-10      -3.150770573469e-13 
    8       1.044873771342e-10       2.134661483723e-15       2.629485902993e-13       0.000000000000e+00       1.381560896248e-09       1.173874353816e-10      -1.063791265313e-13 
    9       1.036903278933e-10       1.304011997498e-15       2.098328337488e-13       0.000000000000e+00       1.166949789702e-09       1.011299639697e-10       2.611811885629e-14 
   10       1.035092526235e-10       9.949393712906e-16       1.702951246535e-13       0.000000000000e+00       1.000061180005e-09       8.814161843929e-11       9.434784085578e-14 
   11       1.037765199637e-10       8.923817183014e-16       1.444327472186e-13       0.000000000000e+00       8.440867261950e-10       7.783436453546e-11       1.135903276882e-13 
   12       1.043843367099e-10       8.138437994406e-16       1.307569677885e-13       0.000000000000e+00       7.391327881314e-10       6.882416360523e-11       1.003008688715e-13 
   13       1.052686250811e-10       7.158582511235e-16       1.267716390306e-13       0.000000000000e+00       6.527740978028e-10       6.151835661063e-11       6.965208516382e-14 
   14       1.063926671381e-10       6.265507475943e-16       1.296198177094e-13       0.000000000000e+00       5.807796234603e-10       5.538053873572e-11       3.321980898137e-14 
   15       1.076790184464e-10       5.779811803120e-16       1.365508414678e-13       0.000000000000e+00       5.200604210646e-10       5.004940511161e-11      -4.885673708594e-16 
   16       1.091000573288e-10       5.759473652575e-16       1.452417813127e-13       0.000000000000e+00       4.683381338186e-10       4.545834266374e-11      -2.610543119323e-14 
   17       1.106306395421e-10       6.048671654166e-16       1.541215126140e-13       0.000000000000e+00       4.238911187875e-10       4.147005197536e-11      -4.160353962584e-14 
   18       1.122840083684e-10       6.450743584468e-16       1.623277594768e-13       0.000000000000e+00       3.852501321955e-10       3.800388269372e-11      -4.739907654924e-14 
   19       1.140494354044e-10       6.926406169021e-16       1.696144531131e-13       0.000000000000e+00       3.518218676355e-10       3.498964926263e-11      -4.525724300397e-14 
   20       1.158540961617e-10       7.495639637647e-16       1.759568865685e-13       0.000000000000e+00       3.223369126839e-10       3.227247454651e-11      -3.816693205290e-14 
   21       1.177152842054e-10       8.249051367735e-16       1.817226154343e-13       0.000000000000e+00       2.963441571299e-10       2.982215099845e-11      -2.866527775176e-14 
   22       1.196490021157e-10       9.296626850407e-16       1.874550229297e-13       0.000000000000e+00       2.732327956489e-10       2.761511546152e-11      -1.942914976964e-14 
   23       1.216465597807e-10       1.065877526180e-15       1.934734768067e-13       0.000000000000e+00       2.526930758505e-10       2.564999733778e-11      -1.193122957567e-14 
   24       1.236746466754e-10       1.231685582112e-15       1.999919182601e-13       0.000000000000e+00       2.342581902005e-10       2.390587616450e-11      -7.164510162319e-15 
   25       1.257449877092e-10       1.424652020872e-15       2.069835308290e-13       0.000000000000e+00       2.177164356801e-10       2.235273823169e-11      -5.164290690086e-15 
   26       1.278673203319e-10       1.641752625228e-15       2.142800943317e-13       0.000000000000e+00       2.027734210188e-10       2.094148763142e-11      -5.480665738734e-15 
   27       1.300340805118e-10       1.882226239644e-15       2.216012331718e-13       0.000000000000e+00       1.892543097418e-10       1.964773330207e-11      -7.430051303295e-15 
   28       1.322247557734e-10       2.145798193323e-15       2.285874036812e-13       0.000000000000e+00       1.769306339401e-10       1.844769959603e-11      -1.015081082605e-14 
   29       1.344467341461e-10       2.432408433257e-15       2.349353461434e-13       0.000000000000e+00       1.657417604834e-10       1.734305477440e-11      -1.302232266249e-14 
   30       1.367059747405e-10       2.741849013999e-15       2.403067329128e-13       0.000000000000e+00       1.555695752127e-10       1.633510961816e-11      -1.537684703558e-14 
   31       1.389986590073e-10       3.073994176110e-15       2.443576955558e-13       0.000000000000e+00       1.462092002370e-10       1.541631122051e-11      -1.655913186158e-14 
   32       1.413268131959e-10       3.430165858637e-15       2.469827437019e-13       0.000000000000e+00       1.376140318671e-10       1.457952856280e-11      -1.657150777581e-14 
   33       1.436860280854e-10       3.812300011637e-15       2.481630900914e-13       0.000000000000e+00       1.297250825167e-10       1.381039703478e-11      -1.567719814218e-14 
   34       1.460653595000e-10       4.222470258725e-15       2.479128470229e-13       0.000000000000e+00       1.224340332537e-10       1.308996878198e-11      -1.420866085593e-14 
   35       1.484657724468e-10       4.662384085370e-15       2.463032702424e-13       0.000000000000e+00       1.157045566826e-10       1.241581191094e-11      -1.245124176744e-14 
   36       1.508865224197e-10       5.133728068004e-15       2.434515628995e-13       0.000000000000e+00       1.094834981888e-10       1.178734026765e-11      -1.072876125053e-14 
