# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.319837707821e-10       6.278406151890e-15       4.008052136852e-13       2.486234831987e-19       8.040341659264e-09       4.664455719871e-10      -2.160369218852e-12 
    3       1.248463912574e-10       9.845728911305e-15       4.955335671643e-13       4.974150583343e-19       4.997166907788e-09       3.332552058859e-10      -1.838362587025e-12 
    4       1.178489034158e-10       1.057282142738e-14       5.026237483899e-13       8.293934161589e-19       3.495607750659e-09       2.542414705789e-10      -1.399211268253e-12 
    5       1.124510506215e-10       8.922051090111e-15       4.608400487050e-13       1.244768347560e-18       2.622048695649e-09       2.021744542455e-10      -9.732479600076e-13 
    6       1.086054267759e-10       6.249625172656e-15       3.964551588685e-13       1.743790212986e-18       2.056985685607e-09       1.653873290349e-10      -6.054531327215e-13 
    7       1.060182375945e-10       3.787309005940e-15       3.270809629844e-13       2.326742695850e-18       1.665841566896e-09       1.381698906897e-10      -3.150770573469e-13 
    8       1.044933268789e-10       2.137655519761e-15       2.629478333862e-13       2.993934743601e-18       1.381560896248e-09       1.173874353816e-10      -1.063791265313e-13 
    9       1.036977209927e-10       1.307757880277e-15       2.098316627184e-13       3.745692000865e-18       1.166949789702e-09       1.011299639697e-10       2.611811885629e-14 
   10       1.035182305790e-10       9.995220528761e-16       1.702933960552e-13       4.582348056409e-18       1.000061180005e-09       8.814161843929e-11       9.434784085578e-14 
   11       1.037872194192e-10       8.978865022330e-16       1.444302916853e-13       5.504235830224e-18       8.440867261950e-10       7.783436453546e-11       1.135903276882e-13 
   12       1.043968894409e-10       8.203563333325e-16       1.307535894956e-13       6.511679418525e-18       7.391327881314e-10       6.882416360523e-11       1.003008688715e-13 
   13       1.052831580741e-10       7.234645101718e-16       1.267671155213e-13       7.604986693390e-18       6.527740978028e-10       6.151835661063e-11       6.965208516382e-14 
   14       1.064093027501e-10       6.353370094036e-16       1.296139000427e-13       8.784442920845e-18       5.807796234603e-10       5.538053873572e-11       3.321980898137e-14 
   15       1.076978746351e-10       5.880339916731e-16       1.365432546379e-13       1.005030561793e-17       5.200604210646e-10       5.004940511161e-11      -4.885673708594e-16 
   16       1.091212479392e-10       5.873535017193e-16       1.452322248829e-13       1.140280081727e-17       4.683381338186e-10       4.545834266374e-11      -2.610543119323e-14 
   17       1.106542746347e-10       6.177135846767e-16       1.541096615076e-13       1.284212084918e-17       4.238911187875e-10       4.147005197536e-11      -4.160353962584e-14 
   18       1.123101945816e-10       6.594481483213e-16       1.623132648959e-13       1.436842295619e-17       3.852501321955e-10       3.800388269372e-11      -4.739907654924e-14 
   19       1.140782762929e-10       7.086289416646e-16       1.695969433632e-13       1.598183385013e-17       3.518218676355e-10       3.498964926263e-11      -4.525724300397e-14 
   20       1.158856926060e-10       7.672540034369e-16       1.759359681948e-13       1.768244405575e-17       3.223369126839e-10       3.227247454651e-11      -3.816693205290e-14 
   21       1.177497346990e-10       8.443840322507e-16       1.816978739252e-13       1.947032239547e-17       2.963441571299e-10       2.982215099845e-11      -2.866527775176e-14 
   22       1.196864031325e-10       9.510174755434e-16       1.874260237758e-13       2.134550935765e-17       2.732327956489e-10       2.761511546152e-11      -1.942914976964e-14 
   23       1.216870059797e-10       1.089195097556e-15       1.934397660993e-13       2.330803474325e-17       2.526930758505e-10       2.564999733778e-11      -1.193122957567e-14 
   24       1.237182311861e-10       1.257052607216e-15       1.999530236523e-13       2.535791098434e-17       2.342581902005e-10       2.390587616450e-11      -7.164510162319e-15 
   25       1.257918022064e-10       1.452154916805e-15       2.069389620681e-13       2.749515416913e-17       2.177164356801e-10       2.235273823169e-11      -5.164290690086e-15 
   26       1.279174552102e-10       1.671477500440e-15       2.142293441632e-13       2.971977590217e-17       2.027734210188e-10       2.094148763142e-11      -5.480665738734e-15 
   27       1.300876248636e-10       1.914258858163e-15       2.215437779948e-13       3.203180192261e-17       1.892543097418e-10       1.964773330207e-11      -7.430051303295e-15 
   28       1.322817974306e-10       2.180223932400e-15       2.285227045610e-13       3.443126681382e-17       1.769306339401e-10       1.844769959603e-11      -1.015081082605e-14 
   29       1.345073594393e-10       2.469312270358e-15       2.348628499321e-13       3.691823655051e-17       1.657417604834e-10       1.734305477440e-11      -1.302232266249e-14 
   30       1.367702684529e-10       2.781315490949e-15       2.402258735122e-13       3.949279477637e-17       1.555695752127e-10       1.633510961816e-11      -1.537684703558e-14 
   31       1.390667043182e-10       3.116107363911e-15       2.442678955615e-13       4.215504268377e-17       1.462092002370e-10       1.541631122051e-11      -1.655913186158e-14 
   32       1.413986913141e-10       3.475009358769e-15       2.468834170895e-13       4.490511626359e-17       1.376140318671e-10       1.457952856280e-11      -1.657150777581e-14 
   33       1.437618180456e-10       3.859956935031e-15       2.480536444266e-13       4.774317983441e-17       1.297250825167e-10       1.381039703478e-11      -1.567719814218e-14 
   34       1.461451379903e-10       4.273023200338e-15       2.477926861207e-13       5.066942207745e-17       1.224340332537e-10       1.308996878198e-11      -1.420866085593e-14 
   35       1.485496135371e-10       4.715915114357e-15       2.461717989321e-13       5.368404844324e-17       1.157045566826e-10       1.241581191094e-11      -1.245124176744e-14 
   36       1.509744973165e-10       5.190318709212e-15       2.433081906819e-13       5.678729027068e-17       1.094834981888e-10       1.178734026765e-11      -1.072876125053e-14 
