# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185622909e-05       4.062494344921e+01 
       2.292362608534e-05       9.057326512724e+01 
       3.560828760542e-05       1.406888362113e+02 
       4.836871162854e-05       1.911002774418e+02 
       6.123829341056e-05       2.419381897774e+02 
       7.425123948468e-05       2.933362699525e+02 
       8.744286337900e-05       3.454324421521e+02 
       1.008498939898e-04       3.983700279487e+02 
       1.145108004402e-04       4.522989864476e+02 
       1.284661372837e-04       5.073772188099e+02 
       1.427589139274e-04       5.637719661414e+02 
       1.574349921059e-04       6.216612947718e+02 
       1.725435151069e-04       6.812356979680e+02 
       1.881373721651e-04       7.426998199390e+02 
       2.042737009284e-04       8.062742940552e+02 
       2.210144300569e-04       8.721977304816e+02 
       2.384268627075e-04       9.407288046517e+02 
       2.565842997080e-04       1.012148484888e+03 
       2.755666984251e-04       1.086762321589e+03 
       2.954613594086e-04       1.164902805834e+03 
       3.163636275512e-04       1.246931691841e+03 
       3.383775873987e-04       1.333242208648e+03 
       3.616167230514e-04       1.424261028489e+03 
       3.862045015520e-04       1.520449801049e+03 
       4.122748246812e-04       1.622306031277e+03 
       4.399722779238e-04       1.730362988975e+03 
       4.694520878688e-04       1.845188313388e+03 
       5.008796821419e-04       1.967380857424e+03 
       5.344297319924e-04       2.097565340504e+03 
       5.702845511268e-04       2.236384318237e+03 
       6.086317309585e-04       2.384487054099e+03 
       6.496609187058e-04       2.542515002422e+03 
       6.935596970390e-04       2.711083850217e+03 
       7.405086061108e-04       2.890762403651e+03 
       7.906754593871e-04       3.082049105484e+03 
       8.442092339807e-04       3.285347398031e+03 
       9.012339445199e-04       3.500941751905e+03 
       9.618430087101e-04       3.728976460674e+03 
       1.026094651636e-03       3.969439437539e+03 
       1.094008850266e-03       4.222153036517e+03 
       1.165566182719e-03       4.486773215180e+03 
       1.240708735874e-03       4.762795386696e+03 
       1.319342979432e-03       5.049533140991e+03 
       1.401344285732e-03       5.346262429069e+03 
       1.486562608957e-03       5.652126758204e+03 
       1.574828762325e-03       5.966206150636e+03 
       1.665960749640e-03       6.287545391611e+03 
       1.759769698314e-03       6.615179411886e+03 
       1.856065072773e-03       6.948155330607e+03 
       1.954658987774e-03       7.285550142593e+03 
       2.055369565667e-03       7.626484156858e+03 
       2.158023376380e-03       7.970131011042e+03 
       2.262457060233e-03       8.315721945274e+03 
       2.368518264944e-03       8.662551669017e+03 
       2.476066036375e-03       9.009972031132e+03 
       2.584970795220e-03       9.357401107810e+03 
       2.695114015810e-03       9.704310934475e+03 
       2.806387703506e-03       1.005022830794e+04 
       2.918693747237e-03       1.039473367100e+04 
       3.031943205484e-03       1.073744904305e+04 
       3.146055568483e-03       1.107804541213e+04 
       3.260958026758e-03       1.141622597143e+04 
       3.376584766142e-03       1.175173276527e+04 
       3.492876301982e-03       1.208433918419e+04 
       3.609778859657e-03       1.241384318456e+04 
       3.727243804616e-03       1.274007148626e+04 
       3.845227122414e-03       1.306287035103e+04 
       3.963688947416e-03       1.338211038278e+04 
       4.082593137699e-03       1.369767391564e+04 
       4.201906893053e-03       1.400946731076e+04 
       4.321600412638e-03       1.431740103702e+04 
       4.441646588792e-03       1.462141019928e+04 
       4.562020733544e-03       1.492143525068e+04 
       4.682700334552e-03       1.521739669236e+04 
       4.803664837402e-03       1.550928425084e+04 
       4.924895451436e-03       1.579708502415e+04 
       5.046374976562e-03       1.608074163810e+04 
       5.168087648701e-03       1.636025210830e+04 
       5.290019001810e-03       1.663567646459e+04 
       5.412155744608e-03       1.690692326917e+04 
       5.534485650354e-03       1.717397454057e+04 
