# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.028185622909e-05       4.062494335126e+01      -4.294729576966e-09      -3.430001161178e-07       1.878980518894e+00      -2.048764479150e-01      -3.988782423882e+00       2.400497802731e+00      -1.412463888586e-06 
       2.292362608534e-05       9.057326404771e+01      -4.759558356232e-08      -3.488529622675e+00      -2.261502447185e+00      -1.853676781207e+00      -4.931876363120e+00       3.167438886177e+00      -9.983193634696e-06 
       3.560828760542e-05       1.406888322219e+02      -1.783864305800e-07      -6.166898960098e+00      -2.281458091586e+00      -1.862858497070e+00      -4.931643046611e+00       3.168238289356e+00      -3.410089646013e-05 
       4.836871162854e-05       1.911002672604e+02      -4.470852648709e-07      -8.029698647239e+00      -2.298348171535e+00      -1.870487853484e+00      -4.930401975101e+00       3.168794979960e+00      -8.276637669589e-05 
       6.123829341056e-05       2.419381693093e+02      -9.072993213911e-07      -9.464650403888e+00      -2.288274346243e+00      -1.866084083782e+00      -4.928278345191e+00       3.169178992189e+00      -1.655425156252e-04 
       7.425123948468e-05       2.933362332998e+02      -1.617235185055e-06      -1.063653552269e+01      -2.294862811411e+00      -1.869041946649e+00      -4.925378913442e+00       3.169525629244e+00      -2.928136324603e-04 
       8.744286337900e-05       3.454323823315e+02      -2.641264320202e-06      -1.163102409826e+01      -2.290784436787e+00      -1.867257440591e+00      -4.921670293442e+00       3.169804756914e+00      -4.760653953083e-04 
       1.008498939898e-04       3.983699359243e+02      -4.051702492427e-06      -1.249837398077e+01      -2.290573382294e+00      -1.867162743892e+00      -4.917150250616e+00       3.170059259184e+00      -7.282022471891e-04 
       1.145108004402e-04       4.522988520186e+02      -5.930871525756e-06      -1.327063569211e+01      -2.291923418461e+00      -1.867723478021e+00      -4.911778281429e+00       3.170292895883e+00      -1.063915186087e-03 
       1.284661372837e-04       5.073770289642e+02      -8.373524532610e-06      -1.396952029987e+01      -2.293880788859e+00      -1.868510518434e+00      -4.905500570096e+00       3.170509340185e+00      -1.500114462029e-03 
       1.427589139274e-04       5.637717044375e+02      -1.148973326864e-05      -1.461043785014e+01      -2.294616949206e+00      -1.868751670156e+00      -4.898248655077e+00       3.170710576856e+00      -2.056444797020e-03 
       1.574349921059e-04       6.216609448050e+02      -1.540835812148e-05      -1.520474101674e+01      -2.293114015628e+00      -1.868046115864e+00      -4.889942195872e+00       3.170900131369e+00      -2.755904622930e-03 
       1.725435151069e-04       6.812352367118e+02      -2.028124825158e-05      -1.576102888207e+01      -2.293740685770e+00      -1.868218012691e+00      -4.880490565021e+00       3.171085180652e+00      -3.625595654208e-03 
       1.881373721651e-04       7.426992213172e+02      -2.628835828469e-05      -1.628600539708e+01      -2.295599218693e+00      -1.868869611395e+00      -4.869778757313e+00       3.171265670594e+00      -4.697636035866e-03 
       2.042737009284e-04       8.062735287780e+02      -3.364400813703e-05      -1.678500445290e+01      -2.294669512625e+00      -1.868353471517e+00      -4.857671608816e+00       3.171440972401e+00      -6.010277489586e-03 
       2.210144300569e-04       8.721967614713e+02      -4.260457269731e-05      -1.726233368943e+01      -2.296225893040e+00      -1.868836042144e+00      -4.844018602078e+00       3.171616108098e+00      -7.609277588646e-03 
       2.384268627075e-04       9.407275887715e+02      -5.347795764948e-05      -1.772154757284e+01      -2.296498243821e+00      -1.868764706440e+00      -4.828636535400e+00       3.171789763357e+00      -9.549590701932e-03 
       2.565842997080e-04       1.012146969265e+03      -6.663530471501e-05      -1.816560804916e+01      -2.297262043554e+00      -1.868868482242e+00      -4.811317053513e+00       3.171964352244e+00      -1.189745664113e-02 
       2.755666984251e-04       1.086760444720e+03      -8.252547631878e-05      -1.859701812829e+01      -2.298254403070e+00      -1.869031450407e+00      -4.791815399466e+00       3.172140393757e+00      -1.473298505169e-02 
       2.954613594086e-04       1.164900493057e+03      -1.016930035835e-04      -1.901791124368e+01      -2.298898658237e+00      -1.869019771068e+00      -4.769847352315e+00       3.172318764805e+00      -1.815335742604e-02 
       3.163636275512e-04       1.246928853770e+03      -1.248003363603e-04      -1.943011939962e+01      -2.300179444971e+00      -1.869225053370e+00      -4.745082308036e+00       3.172500331616e+00      -2.227679615258e-02 
       3.383775873987e-04       1.333238737743e+03      -1.526554214525e-04      -1.983522408858e+01      -2.301053188671e+00      -1.869221984784e+00      -4.717135031644e+00       3.172685488412e+00      -2.724748332992e-02 
       3.616167230514e-04       1.424256794377e+03      -1.862458490461e-04      -2.023459134902e+01      -2.302511397120e+00      -1.869403377949e+00      -4.685557623978e+00       3.172874762251e+00      -3.324165003974e-02 
       3.862045015520e-04       1.520444646666e+03      -2.267810425704e-04      -2.062939859192e+01      -2.303768588786e+00      -1.869446372249e+00      -4.649828611691e+00       3.173068169266e+00      -4.047509845022e-02 
       4.122748246812e-04       1.622299764855e+03      -2.757442163289e-04      -2.102065104252e+01      -2.305445428234e+00      -1.869591781997e+00      -4.609341929491e+00       3.173265532443e+00      -4.921246314950e-02 
       4.399722779238e-04       1.730355379010e+03      -3.349560610694e-04      -2.140919254853e+01      -2.307181198189e+00      -1.869685379958e+00      -4.563393665509e+00       3.173466107203e+00      -5.977855957468e-02 
       4.694520878688e-04       1.845179076216e+03      -4.066523080395e-04      -2.179570993893e+01      -2.309194502130e+00      -1.869803193523e+00      -4.511167928624e+00       3.173668480336e+00      -7.257220050149e-02 
       5.008796821419e-04       1.967369648706e+03      -4.935774008796e-04      -2.218073281150e+01      -2.311502390159e+00      -1.869939398043e+00      -4.451721515227e+00       3.173870333514e+00      -8.808287440649e-02 
       5.344297319924e-04       2.097551739066e+03      -5.990964048913e-04      -2.256462965541e+01      -2.314021774042e+00      -1.870045103535e+00      -4.383967748224e+00       3.174068000657e+00      -1.069106600508e-01 
       5.702845511268e-04       2.236367810607e+03      -7.273268848884e-04      -2.294760077874e+01      -2.317025480959e+00      -1.870212645366e+00      -4.306660540500e+00       3.174256140961e+00      -1.297896783717e-01 
       6.086317309585e-04       2.384467013078e+03      -8.832916693030e-04      -2.332967015976e+01      -2.320262441021e+00      -1.870321120968e+00      -4.218378973234e+00       3.174426986902e+00      -1.576152348257e-01 
       6.496609187058e-04       2.542490664403e+03      -1.073092072582e-03      -2.371067659751e+01      -2.324137197257e+00      -1.870510210946e+00      -4.117514353284e+00       3.174569718025e+00      -1.914745618426e-01 
       6.935596970390e-04       2.711054284309e+03      -1.304099165355e-03      -2.409026699611e+01      -2.328342831687e+00      -1.870631153642e+00      -4.002260545702e+00       3.174669349823e+00      -2.326807134690e-01 
       7.405086061108e-04       2.890726481684e+03      -1.585158080504e-03      -2.446789266297e+01      -2.333325320742e+00      -1.870834102989e+00      -3.870609967490e+00       3.174705648298e+00      -2.828086961594e-01 
       7.906754593871e-04       3.082005463053e+03      -1.926797267906e-03      -2.484281156710e+01      -2.338791199935e+00      -1.870969732386e+00      -3.720356584594e+00       3.174651580487e+00      -3.437323674606e-01 
       8.442092339807e-04       3.285294386655e+03      -2.341431345691e-03      -2.521409755267e+01      -2.345176709197e+00      -1.871178110737e+00      -3.549107355687e+00       3.174471697393e+00      -4.176600496395e-01 
       9.012339445199e-04       3.500877417913e+03      -2.843543541709e-03      -2.558065852146e+01      -2.352231389055e+00      -1.871321435723e+00      -3.354305208259e+00       3.174120140421e+00      -5.071663320097e-01 
       9.618430087101e-04       3.728898426454e+03      -3.449831740996e-03      -2.594126346793e+01      -2.360357872099e+00      -1.871520948895e+00      -3.133255207939e+00       3.173538579508e+00      -6.152171866409e-01 
       1.026094651636e-03       3.969345012490e+03      -4.179303365996e-03      -2.629457820920e+01      -2.369352625362e+00      -1.871653136521e+00      -2.883183715233e+00       3.172653948858e+00      -7.451857459753e-01 
       1.094008850266e-03       4.222038864454e+03      -5.053304373509e-03      -2.663920756109e+01      -2.379572119791e+00      -1.871817091037e+00      -2.601228468489e+00       3.171376238900e+00      -9.008561140033e-01 
       1.165566182719e-03       4.486635629964e+03      -6.095478233429e-03      -2.697374136525e+01      -2.390854868834e+00      -1.871903593550e+00      -2.284640545997e+00       3.169596336021e+00      -1.086414484381e+00 
       1.240708735874e-03       4.762629948589e+03      -7.331643531707e-03      -2.729680052901e+01      -2.403495542764e+00      -1.871985526245e+00      -1.930608555891e+00       3.167184119801e+00      -1.306425571424e+00 
