# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       1.028185622909e-05       1.519066943178e+01      -1.662153348367e-09      -3.513344121936e-07       5.377198466889e-01      -2.689319719437e-01      -1.221037932147e-01       9.927973454993e-02      -2.011651002395e-07 
       2.292362608534e-05       3.386761478121e+01      -1.837765326219e-08      -1.797610886814e-01       3.122500054670e-03      -2.044667384010e-03      -1.556567492343e-04       1.332347253699e-05      -1.439479629190e-06 
       3.560828760542e-05       5.260718387042e+01      -6.879074228707e-08      -1.799125378855e-01       1.275290864385e-03      -8.156146668785e-04      -3.607883580065e-04       4.560445614325e-06      -4.926616684244e-06 
       4.836871162854e-05       7.145751663559e+01      -1.722554739297e-07      -1.800458463414e-01      -8.238544626185e-04      -4.613890703669e-04      -6.598167274727e-04       1.542068185402e-06      -1.195755546513e-05 
       6.123829341056e-05       9.046749476549e+01      -3.493308466775e-07      -1.801720586767e-01       4.246318835886e-04      -3.055304547581e-04      -1.059462322017e-03       1.752897176336e-06      -2.390622820422e-05 
       7.425123948468e-05       1.096871648226e+02      -6.223263252886e-07      -1.803060244579e-01      -5.231796655862e-04      -2.205884749772e-04      -1.555449783597e-03       1.547567307682e-07      -4.226319231125e-05 
       8.744286337900e-05       1.291681563628e+02      -1.015904037255e-06      -1.804495542166e-01      -4.776739012783e-05      -1.684420540230e-04      -2.157352466529e-03       1.248787945465e-06      -6.867601454215e-05 
       1.008498939898e-04       1.489641257115e+02      -1.557761532236e-06      -1.806061063376e-01       1.945954195270e-05      -1.326837341788e-04      -2.868850372048e-03       1.627683285515e-06      -1.049948969059e-04 
       1.145108004402e-04       1.691312172296e+02      -2.279421738068e-06      -1.807784936359e-01      -1.256655182162e-04      -1.065833124025e-04      -3.697514508139e-03       1.678977588057e-06      -1.533254257675e-04 
       1.284661372837e-04       1.897285537895e+02      -3.217161481284e-06      -1.809691287079e-01      -3.255931674241e-04      -8.657007992547e-05      -4.652388344383e-03       1.775627283230e-06      -2.160905566489e-04 
       1.427589139274e-04       2.108187611047e+02      -4.413116396862e-06      -1.811800954901e-01      -3.271766444157e-04      -7.145759904359e-05      -5.744177553608e-03       2.244713787727e-06      -2.961043630921e-04 
       1.574349921059e-04       2.324685262630e+02      -5.916608301111e-06      -1.814139150900e-01      -1.297661013456e-04      -6.125843776802e-05      -6.984925963467e-03       2.928227970055e-06      -3.966606236658e-04 
       1.725435151069e-04       2.547491978542e+02      -7.785751736078e-06      -1.816739754144e-01      -2.725469446754e-04      -5.186838368566e-05      -8.388300127914e-03       3.324813434745e-06      -5.216400275611e-04 
       1.881373721651e-04       2.777374320968e+02      -1.008941032309e-05      -1.819629900033e-01      -4.431550380546e-04      -4.268998403002e-05      -9.971339797444e-03       3.895341624043e-06      -6.756407091409e-04 
       2.042737009284e-04       3.015158876751e+02      -1.290959050082e-05      -1.822842068660e-01      -3.204921266571e-04      -3.908087783173e-05      -1.175351326082e-02       4.803889852899e-06      -8.641379476038e-04 
       2.210144300569e-04       3.261739668357e+02      -1.634438125241e-05      -1.826421532572e-01      -5.440794923576e-04      -3.182058026661e-05      -1.375678815017e-02       5.681404913534e-06      -1.093680264613e-03 
       2.384268627075e-04       3.518086035012e+02      -2.051157634086e-05      -1.830408857730e-01      -5.265510598938e-04      -2.886301396063e-05      -1.600764282839e-02       6.957634322441e-06      -1.372131017485e-03 
       2.565842997080e-04       3.785250978546e+02      -2.555314848480e-05      -1.834859840047e-01      -6.656366324269e-04      -2.494768465273e-05      -1.853605276047e-02       8.448906528171e-06      -1.708966768650e-03 
       2.755666984251e-04       4.064379800867e+02      -3.164078547523e-05      -1.839833121549e-01      -7.440599985309e-04      -2.132336979793e-05      -2.137732347547e-02       1.037712071997e-05      -2.115646408921e-03 
       2.954613594086e-04       4.356718931745e+02      -3.898274910045e-05      -1.845399692759e-01      -8.617912821512e-04      -1.998199245759e-05      -2.457221854979e-02       1.277736416248e-05      -2.606068392829e-03 
       3.163636275512e-04       4.663624671641e+02      -4.783237736519e-05      -1.851640201676e-01      -9.881701362719e-04      -1.586939006943e-05      -2.816825935689e-02       1.582104157385e-05      -3.197137399832e-03 
       3.383775873987e-04       4.986571502518e+02      -5.849862158302e-05      -1.858649040170e-01      -1.129363548403e-03      -1.611379693407e-05      -3.222063503070e-02       1.966289053854e-05      -3.909466447992e-03 
       3.616167230514e-04       5.327159459882e+02      -7.135909116628e-05      -1.866535289138e-01      -1.287485029594e-03      -1.202436542563e-05      -3.679356730053e-02       2.454152200397e-05      -4.768245864136e-03 
       3.862045015520e-04       5.687119883788e+02      -8.687616896953e-05      -1.875426038337e-01      -1.474574584668e-03      -1.275640503584e-05      -4.196168965645e-02       3.073411809881e-05      -5.804316460281e-03 
       4.122748246812e-04       6.068318662600e+02      -1.056168541735e-04      -1.885468408300e-01      -1.668450768449e-03      -9.753664970296e-06      -4.781175153940e-02       3.862922978914e-05      -7.055490461509e-03 
       4.399722779238e-04       6.472755842775e+02      -1.282770793060e-04      -1.896833499318e-01      -1.915179741129e-03      -8.930714962165e-06      -5.444439456151e-02       4.869942322975e-05      -8.568169591640e-03 
       4.694520878688e-04       6.902560239325e+02      -1.557113188586e-04      -1.909718969411e-01      -2.160040062942e-03      -1.092248615343e-05      -6.197623991878e-02       6.159007933948e-05      -1.039931429165e-02 
       5.008796821419e-04       7.359977442343e+02      -1.889683365982e-04      -1.924353629991e-01      -2.479481265208e-03      -5.990024208662e-06      -7.054199752943e-02       7.810789010300e-05      -1.261881981088e-02 
       5.344297319924e-04       7.847349489252e+02      -2.293338775142e-04      -1.941000446536e-01      -2.797701248542e-03      -1.674516297253e-05      -8.029679884359e-02       9.933074386158e-05      -1.531235188899e-02 
