# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
    2       1.388030822258e-10       5.880163815664e-15       4.179741368502e-13       0.000000000000e+00       8.096743323436e-09       4.520498318663e-10      -2.183995668183e-12       1.663663012082e-06       6.849938707724e-08       3.415755089656e-09       5.700687497365e-08 
    3       1.310502656189e-10       9.168659321995e-15       5.077021220744e-13       0.000000000000e+00       5.078114423502e-09       3.227793646660e-10      -1.842741820504e-12       2.770004468863e-06       7.960861818207e-08       1.842839595106e-09       5.734993756974e-08 
    4       1.234821145942e-10       9.836130657855e-15       5.098105686635e-13       0.000000000000e+00       3.545023258942e-09       2.452580512253e-10      -1.396347650959e-12       4.142860870434e-06       8.811321878353e-08       1.156347635064e-09       5.746154435608e-08 
    5       1.175820133212e-10       8.318002512738e-15       4.646216679116e-13       0.000000000000e+00       2.649659857622e-09       1.942334472631e-10      -9.704416110006e-13       5.810053719785e-06       9.486096647104e-08       7.914877970137e-10       5.743478972863e-08 
    6       1.133213356965e-10       5.852937596629e-15       3.985503279150e-13       0.000000000000e+00       2.071242957389e-09       1.583671493278e-10      -6.054447127838e-13       7.789229100281e-06       1.002752746105e-07       5.725384647284e-10       5.723648538476e-08 
    7       1.104220066862e-10       3.570280250923e-15       3.288523259113e-13       0.000000000000e+00       1.670978867110e-09       1.319840945317e-10      -3.182102036476e-13       1.009178863040e-05       1.046806217265e-07       4.307474897390e-10       5.689803818668e-08 
    8       1.085409754565e-10       2.028677571799e-15       2.653480224143e-13       0.000000000000e+00       1.380505913448e-09       1.118837047615e-10      -1.116359161927e-13       1.272428106579e-05       1.083559613046e-07       3.337961841151e-10       5.644715915093e-08 
    9       1.074583426036e-10       1.243827144608e-15       2.131725555439e-13       0.000000000000e+00       1.162438134633e-09       9.612604685202e-11       2.028112311618e-14       1.568939971022e-05       1.115033044929e-07       2.647252187749e-10       5.590566458978e-08 
   10       1.069791107850e-10       9.476684083550e-16       1.744303892700e-13       0.000000000000e+00       9.942223091481e-10       8.354805816498e-11       8.939110911912e-14       1.898670526526e-05       1.142323670577e-07       2.139075606295e-10       5.529133107441e-08 
   11       1.069693887978e-10       8.498771552786e-16       1.491187454088e-13       0.000000000000e+00       8.357951522354e-10       7.361229488953e-11       1.103492609349e-13       2.261319244816e-05       1.169712658274e-07       1.755364906886e-10       5.461874044748e-08 
   12       1.073630657069e-10       7.776183099901e-16       1.356067523844e-13       0.000000000000e+00       7.303730054960e-10       6.516673729700e-11       9.961758064118e-14       2.656374056488e-05       1.188324206122e-07       1.459365776884e-10       5.389989874425e-08 
   13       1.080218097198e-10       6.861208075624e-16       1.314060874280e-13       0.000000000000e+00       6.438265778836e-10       5.819733287031e-11       7.118934397924e-14       3.083146473582e-05       1.203860092940e-07       1.226883386681e-10       5.314475084501e-08 
   14       1.088662289516e-10       5.998755283874e-16       1.338328935058e-13       0.000000000000e+00       5.718108477030e-10       5.214365402326e-11       3.632906318485e-14       3.540802105898e-05       1.216658303184e-07       1.041463395805e-10       5.236158216873e-08 
   15       1.099097081094e-10       5.506081087165e-16       1.403333717100e-13       0.000000000000e+00       5.111906421684e-10       4.706913122432e-11       3.792281348419e-15       4.028389756508e-05       1.227005538825e-07       8.916035042919e-11       5.155732052406e-08 
   16       1.111510286438e-10       5.470368035509e-16       1.487462061487e-13       0.000000000000e+00       4.596453448523e-10       4.278211806836e-11      -2.141817978819e-14       4.544865009854e-05       1.235153074990e-07       7.690714187501e-11       5.073777760623e-08 
   17       1.124591774349e-10       5.768072446770e-16       1.575801768189e-13       0.000000000000e+00       4.154250850586e-10       3.908546250834e-11      -3.719304673947e-14       5.089105965057e-05       1.241318188716e-07       6.678536707768e-11       4.990784685831e-08 
   18       1.138830071256e-10       6.216907643037e-16       1.659068598975e-13       0.000000000000e+00       3.770400889639e-10       3.576218394885e-11      -4.384016844857e-14       5.659918952377e-05       1.245633325438e-07       5.831247803792e-11       4.906768119723e-08 
   19       1.154329654651e-10       6.765682476854e-16       1.734670140998e-13       0.000000000000e+00       3.438851030353e-10       3.280352666655e-11      -4.286244244554e-14       6.256098728127e-05       1.248454538978e-07       5.125670719146e-11       4.823270651174e-08 
   20       1.170333899944e-10       7.411455641931e-16       1.802251756032e-13       0.000000000000e+00       3.146815425723e-10       3.020315856169e-11      -3.686591204870e-14       6.876355330704e-05       1.249732597067e-07       4.524916724404e-11       4.739292952321e-08 
   21       1.186985013481e-10       8.228526776426e-16       1.864508468615e-13       0.000000000000e+00       2.889713583401e-10       2.792687617041e-11      -2.819086680667e-14       7.519416455826e-05       1.249717441791e-07       4.013630241202e-11       4.655785624218e-08 
   22       1.204385217699e-10       9.314191705717e-16       1.925540588590e-13       0.000000000000e+00       2.661405627580e-10       2.589141582798e-11      -1.940050087542e-14       8.183976628538e-05       1.248459924229e-07       3.574116568701e-11       4.572552385195e-08 
   23       1.222390388227e-10       1.069224343682e-15       1.988110399569e-13       0.000000000000e+00       2.458757321340e-10       2.405609483438e-11      -1.201518784093e-14       8.868747170925e-05       1.246151378395e-07       3.196510740027e-11       4.490197061446e-08 
   24       1.240618129064e-10       1.235351166001e-15       2.054324735626e-13       0.000000000000e+00       2.277087198322e-10       2.237619722067e-11      -7.153137206715e-15       9.572426685102e-05       1.242816693400e-07       2.868238751824e-11       4.408394861816e-08 
   25       1.259266743366e-10       1.427661360506e-15       2.124339294436e-13       0.000000000000e+00       2.114262583824e-10       2.085717466084e-11      -4.954305580292e-15       1.029372411050e-04       1.238611210590e-07       2.582999323148e-11       4.327843718696e-08 
   26       1.278531856133e-10       1.643293033870e-15       2.197045215632e-13       0.000000000000e+00       1.967341408861e-10       1.950283314792e-11      -5.058607960334e-15       1.103135324115e-04       1.233570813981e-07       2.333222310140e-11       4.248485981445e-08 
   27       1.298273875395e-10       1.881719977863e-15       2.269718287708e-13       0.000000000000e+00       1.834565273715e-10       1.829064110527e-11      -6.741762430317e-15       1.178406793748e-04       1.227796432875e-07       2.113803873356e-11       4.169655943585e-08 
   28       1.318176532144e-10       2.142954101103e-15       2.338759305859e-13       0.000000000000e+00       1.713648781576e-10       1.718199986114e-11      -9.085925358466e-15       1.255064722496e-04       1.221303946196e-07       1.918822562489e-11       4.090127910036e-08 
   29       1.338317062076e-10       2.427124610078e-15       2.401474255042e-13       0.000000000000e+00       1.603975234737e-10       1.616793168308e-11      -1.157457878512e-14       1.332989528727e-04       1.214251660798e-07       1.746512276690e-11       4.011127223377e-08 
   30       1.358796591431e-10       2.734215522635e-15       2.455002713624e-13       0.000000000000e+00       1.504366653301e-10       1.523877865049e-11      -1.372332824392e-14       1.412064634741e-04       1.206703339477e-07       1.594527857074e-11       3.934149975701e-08 
