# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
    2       1.388030823201e-10       5.880163815663e-15       4.179741368516e-13       0.000000000000e+00       8.097159752016e-09       4.520442714176e-10      -2.184209366824e-12       1.663805078465e-06       6.850309506563e-08       3.415835395090e-09       5.700857924804e-08 
    3       1.310502659831e-10       9.168659322003e-15       5.077021220738e-13       0.000000000000e+00       5.078312801685e-09       3.227810136624e-10      -1.842862804770e-12       2.770216370521e-06       7.961248968043e-08       1.842878107502e-09       5.735152477316e-08 
    4       1.234821141128e-10       9.836130657870e-15       5.098105686585e-13       0.000000000000e+00       3.545139537717e-09       2.452598925660e-10      -1.396421741383e-12       4.143148370790e-06       8.811322842848e-08       1.156370336627e-09       5.746307374536e-08 
    5       1.175820116638e-10       8.318002512755e-15       4.646216679033e-13       0.000000000000e+00       2.649727635375e-09       1.942343809936e-10      -9.704855613400e-13       5.810422550191e-06       9.485769910202e-08       7.915028844742e-10       5.743628112107e-08 
    6       1.133213358911e-10       5.852937596639e-15       3.985503279092e-13       0.000000000000e+00       2.071281392670e-09       1.583679150464e-10      -6.054678266145e-13       7.789680664650e-06       1.002754926411e-07       5.725492902526e-10       5.723793116233e-08 
    7       1.104220074084e-10       3.570280250927e-15       3.288523258973e-13       0.000000000000e+00       1.671010125966e-09       1.319848764182e-10      -3.182200767627e-13       1.009232632507e-05       1.046882546281e-07       4.307556665976e-10       5.689944824665e-08 
    8       1.085409742928e-10       2.028677571808e-15       2.653480223740e-13       0.000000000000e+00       1.380546367495e-09       1.118845905249e-10      -1.116381166335e-13       1.272491504661e-05       1.083657560517e-07       3.338025813213e-10       5.644856246161e-08 
    9       1.074583384368e-10       1.243827144603e-15       2.131725555051e-13       0.000000000000e+00       1.162485394901e-09       9.612715213773e-11       2.028281788346e-14       1.569014083028e-05       1.115067797702e-07       2.647303501851e-10       5.590707467196e-08 
   10       1.069791107166e-10       9.476684083593e-16       1.744303892073e-13       0.000000000000e+00       9.942586377284e-10       8.354913936810e-11       8.939431710956e-14       1.898755654788e-05       1.142281685295e-07       2.139117546013e-10       5.529273452296e-08 
   11       1.069693895722e-10       8.498771552549e-16       1.491187453827e-13       0.000000000000e+00       8.358132718310e-10       7.361293138585e-11       1.103530301675e-13       2.261415077886e-05       1.169738189684e-07       1.755399703378e-10       5.462012163625e-08 
   12       1.073630640031e-10       7.776183100075e-16       1.356067521989e-13       0.000000000000e+00       7.303880280773e-10       6.516716191304e-11       9.962059634808e-14       2.656480710678e-05       1.188349040532e-07       1.459395016370e-10       5.390125976961e-08 
   13       1.080218021540e-10       6.861208075547e-16       1.314060873002e-13       0.000000000000e+00       6.438402369596e-10       5.819776714375e-11       7.119163007217e-14       3.083265104520e-05       1.203885583460e-07       1.226908228362e-10       5.314610352871e-08 
