# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.047351731994e-05      -3.014448943072e-08      -2.795899680724e-09      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       2.548804199571e+01 
       2.340743913420e-05      -3.271412209255e-07      -3.034185810658e-08      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       5.537763028336e+01 
       3.638716748480e-05      -1.210000912091e-06      -1.122257208264e-07      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       8.476096724920e+01 
       4.944791378377e-05      -3.003990117562e-06      -2.786152952198e-07      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       1.139486036484e+02 
       6.262547613581e-05      -6.048866251076e-06      -5.613031586159e-07      -3.057107052383e-07       7.193636787708e-02      -3.463209093133e-02      -3.057107052383e-07       3.057107052383e-07      -5.695330150858e-05       1.431185153663e+02 
       7.595656116047e-05      -1.071794419812e-05      -9.946725884144e-07      -3.057107052383e-07      -3.667738902380e-04      -1.111110858565e-03      -3.057107052383e-07       3.057107052383e-07      -9.578385637793e-05       1.724048908518e+02 
       8.947911617944e-05      -1.741863947991e-05      -1.616699255200e-06      -1.859766123176e-01       7.975042849161e-03      -4.024976864412e-03      -3.789632029867e-03       5.546685236886e-05      -1.506149819138e-04       2.019230350948e+02 
       1.032326762210e-04      -2.661012497467e-05      -2.470071603677e-06      -1.864720276166e-01      -2.688033763730e-03      -2.486597362142e-03      -4.918614263494e-03       1.720177778302e-05      -2.250814896237e-04       2.317795789609e+02 
       1.172587303275e-04      -3.881583036075e-05      -3.603466429532e-06      -1.867003257675e-01      -4.246607791708e-03      -1.834894277029e-03      -6.339427253190e-03       1.715794216979e-05      -3.233228853839e-04       2.620777223526e+02 
       1.316011116848e-04      -5.463950770654e-05      -5.073045921755e-06      -1.869655858797e-01      -3.507259513761e-03      -1.427378004526e-03      -7.983781945068e-03       2.233794534850e-05      -4.501117149792e-04       2.929204399259e+02 
