# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       1.047351731994e-05      -3.074185862732e-08      -6.319159828949e-08      -4.155843851471e-08      -2.795899680724e-09      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       3.209244213701e+00       1.348228067006e+01       2.548804199222e+01 
       2.340743913420e-05      -2.914783632812e-07      -7.144635662460e-07      -4.326631954956e-07      -3.034185810658e-08      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       6.972694869645e+00       2.929282500820e+01       5.537763028452e+01 
       3.638716748480e-05      -1.073118583565e-06      -2.658601477585e-06      -1.616224752647e-06      -1.122257208264e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.067240253677e+01       4.483558015550e+01       8.476096724795e+01 
       4.944791378377e-05      -2.658601477585e-06      -6.599821612343e-06      -4.015797606613e-06      -2.786152952198e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.434746918894e+01       6.027481655599e+01       1.139486036497e+02 
       6.262547613581e-05      -5.351360575867e-06      -1.328902233218e-05      -8.076569413811e-06      -5.613036937589e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.802030394574e+01       7.570467656151e+01       1.431185140971e+02 
       7.595656116047e-05      -9.488417735954e-06      -2.354997158956e-05      -1.432058247723e-05      -9.946726336973e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       2.170780311221e+01       9.119614290103e+01       1.724048903663e+02 
       8.947911617944e-05      -1.541704210160e-05      -3.826336670480e-05      -2.324596876536e-05      -1.616699255200e-06      -1.859766123176e-01       1.051483488191e-02       2.693952907125e-03      -8.937270293666e-03      -2.749168131688e-03      -3.789632029867e-03       5.546685236886e-05      -1.655170133179e-04      -4.388058742843e-05       2.542448465064e+01       1.068102066239e+02       2.019230350907e+02 
       1.032326762210e-04      -2.354997158956e-05      -5.845962923560e-05      -3.551595541341e-05      -2.470071603677e-06      -1.864720276166e-01      -3.110423682529e-03      -1.687591408157e-03       2.911019463012e-03       9.067732479450e-04      -4.918614263494e-03       1.720177778302e-05      -2.283977772590e-04      -6.055918432111e-05       2.918377462772e+01       1.226032716291e+02       2.317795789654e+02 
       1.172587303275e-04      -3.436484359592e-05      -8.528019300690e-05      -5.180344754910e-05      -3.603466429532e-06      -1.867003257675e-01      -5.018844677786e-03      -2.487715455587e-03       4.663350948263e-03       1.449368191305e-03      -6.339427253190e-03       1.715794216979e-05      -3.271007766125e-04      -8.672790683077e-05       3.299866717279e+01       1.386299273013e+02       2.620777223478e+02 
       1.316011116848e-04      -4.837231455009e-05      -1.200594824006e-04      -7.291228784618e-05      -5.073045921755e-06      -1.869655858797e-01      -3.932112574493e-03      -2.393073228041e-03       3.720503837100e-03       1.158720996794e-03      -7.983781945068e-03       2.233794534850e-05      -4.553819983149e-04      -1.207477584576e-04       3.688212802169e+01       1.549446436266e+02       2.929204399267e+02 
