# Quadrupole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib1b2 (Mpc/h)^3        7:Ib2 (Mpc/h)^3          8:Ib1bG2 (Mpc/h)^3       9:IbG2 (Mpc/h)^3        10:IFG2 (Mpc/h)^3        11:Ib2b2 (Mpc/h)^3       12:Ib2bG2 (Mpc/h)^3      13:IbG2bG2 (Mpc/h)^3     14:Ptree_vv (Mpc/h)^3    15:Ptree_vd (Mpc/h)^3 
       1.047351731994e-05      -8.482475806427e-08      -1.502935310669e-07      -1.992527873993e-08      -1.478932913471e-09       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.169269186477e+00       2.696456132816e+01 
       2.340743913420e-05      -8.664649783478e-07      -1.604838879082e-06      -2.151930103912e-07      -1.604977922457e-08       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.992198534583e+01       5.858565002323e+01 
       3.638716748480e-05      -3.211954932877e-06      -5.948549644386e-06      -8.123820789108e-07      -5.936347194876e-08       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.049257866038e+01       8.967116031270e+01 
       4.944791378377e-05      -7.968403614937e-06      -1.477658671353e-05      -2.017576795837e-06      -1.473777235778e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.099276911426e+01       1.205496331279e+02 
       6.262547613581e-05      -1.604668090978e-05      -2.977178219952e-05      -4.059063926163e-06      -2.969099760181e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.148658269389e+01       1.514093531281e+02 
       7.595656116047e-05      -2.843621923027e-05      -5.275929163494e-05      -7.186194100975e-06      -5.261469523551e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.202229461167e+01       1.823922857958e+02 
       8.947911617944e-05      -4.620045916743e-05      -8.573619724320e-05      -1.166027311861e-05      -8.551772283475e-07       4.874127378298e-03       6.276198650811e-03      -3.785614524379e-03      -6.264905572115e-03      -8.779248600916e-05       1.529065890502e-05       4.866322361969e-06      -1.246753155441e-06       7.264138472708e+01       2.136204132456e+02 
       1.032326762210e-04      -7.057761447154e-05      -1.309830894995e-04      -1.780579837568e-05      -1.306581283475e-06      -7.319420207567e-04      -3.655928855172e-03       1.231516010142e-03       2.064389245709e-03      -1.211491105008e-04       1.739192187157e-06       1.043686100397e-05      -4.155843851471e-08       8.338221322945e+01       2.452065432571e+02 
       1.172587303275e-04      -1.029573310113e-04      -1.910845617033e-04      -2.597117760330e-05      -1.906107412209e-06      -1.370927492549e-03      -5.424145911223e-03       1.974112362088e-03       3.300381042750e-03      -1.735195745535e-04       2.260665196465e-06       1.345525608624e-05      -3.074185862732e-08       9.428190621888e+01       2.772598546026e+02 
       1.316011116848e-04      -1.449472941341e-04      -2.689935401638e-04      -3.654751555846e-05      -2.683463443613e-06      -7.119085762179e-04      -5.145247230350e-03       1.571438988271e-03       2.637583154983e-03      -2.415689557998e-04       2.792385491982e-06       1.698430759792e-05      -9.108698852539e-09       1.053775086250e+02       3.098892872509e+02 
       1.463064160994e-04      -1.983920153577e-04      -3.681958100731e-04      -5.000106376366e-05      -3.673258467809e-06       1.698060718901e-04      -4.612392332533e-03       9.977127894077e-04       1.689599876254e-03      -3.279370690259e-04       3.455043333504e-06       2.100238237924e-05       1.252446092224e-08       1.167067844006e+02       3.432058957125e+02 
       1.614244532804e-04      -2.654969383917e-04      -4.927635291120e-04      -6.689656154776e-05      -4.916136053045e-06       1.534067704760e-03      -3.403709553239e-03       2.673175395749e-05       7.989410551665e-05      -4.361193774165e-04       4.193417234238e-06       2.558462719575e-05       4.554349426270e-08       1.283088469292e+02       3.773247027977e+02 
       1.770087351978e-04      -3.488574731155e-04      -6.474964122822e-04      -8.786421701263e-05      -6.460149240028e-06       2.810778801433e-03      -2.480526984311e-03      -8.279454294877e-04      -1.338041104635e-03      -5.702426908454e-04       5.051342807411e-06       3.077487766066e-05       6.717665403748e-08       1.402246972966e+02       4.123662825803e+02 
       1.931170053927e-04      -4.515563447968e-04      -8.381158610503e-04      -1.136964869584e-04      -8.362440449656e-06       2.707059186187e-03      -4.013040517329e-03      -4.110909501444e-04      -6.413326696274e-04      -7.352359539792e-04       6.006617599571e-06       3.660558351364e-05       5.636007415009e-08       1.524977230512e+02       4.484582271941e+02 
       2.098118124213e-04      -5.772637897797e-04      -1.071463077548e-03      -1.452945632779e-04      -1.069130337896e-05       2.033316058161e-03      -6.670626374992e-03       5.502485275704e-04       9.626397444760e-04      -9.369856634515e-04       7.136096257286e-06       4.319686572081e-05       5.636007415009e-08       1.651741727706e+02       4.857365422852e+02 
       2.271611294778e-04      -7.304003734759e-04      -1.355747276617e-03      -1.837657221753e-04      -1.352872501088e-05       3.107484988562e-03      -6.610633637881e-03       1.192670256004e-06       5.430093891573e-05      -1.182548214404e-03       8.341290974213e-06       5.063468762759e-05       6.717665403748e-08       1.783036308701e+02       5.243470433580e+02 
       2.452390204812e-04      -9.162963925953e-04      -1.700871321790e-03      -2.304569124934e-04      -1.697352813929e-05       4.183846838212e-03      -6.764888314361e-03      -4.939840947583e-04      -7.645648256971e-04      -1.480427146511e-03       9.752570002678e-06       5.901753704031e-05       8.880981381226e-08       1.919394907223e+02       5.644467472400e+02 
       2.641263503068e-04      -1.141401944513e-03      -2.118768177859e-03      -2.869536171263e-04      -2.114526802369e-05       3.862253408643e-03      -9.495606207230e-03       3.064769745293e-04       5.741042098652e-04      -1.840905042187e-03       1.129478657715e-05       6.843194659809e-05       8.880981381226e-08       2.061394394091e+02       6.062052973911e+02 
       2.839115330950e-04      -1.413524892026e-03      -2.623988421945e-03      -3.552096519778e-04      -2.618906755508e-05       4.993254926948e-03      -1.008387159734e-02      -1.144712956546e-04      -1.193467267154e-04      -2.276490422133e-03       1.308635378271e-05       7.907318403257e-05       1.212595534744e-07       2.209659326524e+02       6.498063606881e+02 
       3.046913073430e-04      -1.742176424618e-03      -3.234198944768e-03      -4.376029567421e-04      -3.228162861492e-05       5.872091795512e-03      -1.140853316195e-02      -2.369650778235e-04      -3.151564259484e-04      -2.802363502281e-03       1.506237214003e-05       9.106080101619e-05       1.428927132492e-07       2.364866698139e+02       6.954490242603e+02 
       3.265715193731e-04      -2.138986642843e-03      -3.970985654727e-03      -5.370335134164e-04      -3.963870425994e-05       6.192957667760e-03      -1.402398844095e-02       2.177092884492e-04       4.518711642009e-04      -3.437092365240e-03       1.733214603535e-05       1.045900652806e-04       1.645258730240e-07       2.527750442324e+02       7.433491198958e+02 
       3.496678873628e-04      -2.618168532672e-03      -4.860756946970e-03      -6.570189876388e-04      -4.852437983446e-05       7.734874793755e-03      -1.501516630823e-02      -3.104660153330e-04      -4.161940986765e-04      -4.203381581489e-03       1.985127056175e-05       1.199006494644e-04       2.083614862518e-07       2.699105446683e+02       7.937404043899e+02 
       3.741067060224e-04      -3.197139064899e-03      -5.935891968743e-03      -8.019030901747e-04      -5.926258169869e-05       8.390125555229e-03      -1.795639647886e-02       5.574523697754e-05       2.076544235034e-04      -5.129093522229e-03       2.275011397157e-05       1.372305183250e-04       2.408112259140e-07       2.879790768227e+02       8.468755052691e+02 
       4.000254369668e-04      -3.897333285099e-03      -7.236198011207e-03      -9.769950538676e-04      -7.225131058247e-05       9.782304780788e-03      -2.021028821914e-02      -1.034389534631e-04      -4.061227242140e-05      -6.248444445407e-03       2.601842897860e-05       1.568842439804e-04       2.948941253510e-07       3.070731658321e+02       9.030265161686e+02 
       4.275731119149e-04      -4.745071347900e-03      -8.810603019541e-03      -1.188831508732e-03      -8.798016663352e-05       1.124118700804e-02      -2.297570968535e-02      -1.747572190101e-04      -1.387835514794e-04      -7.603498322324e-03       2.974331751561e-05       1.792199121542e-04       3.711794782410e-07       3.272919792503e+02       9.624850643868e+02 
       4.569104556571e-04      -5.772765988874e-03      -1.071931720104e-02      -1.445437787750e-03      -1.070517988885e-04       1.258035531416e-02      -2.665854734481e-02       2.482063507949e-05       2.190340348386e-04      -9.246040383131e-03       3.396690731480e-05       2.046286276033e-04       4.577121173401e-07       3.487411017469e+02       1.025561648476e+03 
       4.882096147796e-04      -7.020256379629e-03      -1.303642672712e-02      -1.756672349548e-03      -1.302079491599e-04       1.470250225000e-02      -2.986291985519e-02      -2.708107255848e-04      -2.417209572119e-04      -1.123977572902e-02       3.879907205607e-05       2.335988443038e-04       5.772637897797e-07       3.715319791771e+02       1.092584003195e+03 
       5.216533592001e-04      -8.536558136570e-03      -1.585303452653e-02      -2.134653748657e-03      -1.583607455237e-04       1.646238029225e-02      -3.462636572585e-02      -2.884212562289e-05       2.008246072450e-04      -1.366304827881e-02       4.430414192507e-05       2.666628518449e-04       7.184486219940e-07       3.957809405260e+02       1.163894223438e+03 
       5.574336111076e-04      -1.038178297919e-02      -1.928088383961e-02      -2.594192729411e-03      -1.926298052599e-04       1.902074224685e-02      -3.915921065271e-02      -2.320247472834e-04      -8.770538407639e-05      -1.661194398882e-02       5.061305446781e-05       3.044611056145e-04       9.028997737579e-07       4.216077003039e+02       1.239844360078e+03 
       5.957491561832e-04      -1.262947511131e-02      -2.345670477554e-02      -3.153423003344e-03      -2.343854982786e-04       2.163012771665e-02      -4.487617732171e-02      -1.878310483319e-04       4.905660555138e-05      -2.020404876043e-02       5.781234232339e-05       3.476989604802e-04       1.152819698524e-06       4.491332593072e+02       1.320790246662e+03 
       6.368024128256e-04      -1.536920492311e-02      -2.854712959397e-02      -3.834364849932e-03      -2.852983321411e-04       2.467824789903e-02      -5.132139584984e-02      -1.950297668938e-04       1.174316227816e-04      -2.458262876353e-02       6.607564006367e-05       3.972030308627e-04       1.456822522728e-06       4.784771313983e+02       1.407083343969e+03 
       6.807951847174e-04      -1.870955778289e-02      -3.475404975848e-02      -4.663665767667e-03      -3.473938593476e-04       2.833557949382e-02      -5.842636085162e-02      -3.466241340156e-04      -3.233815810123e-05      -2.992132084717e-02       7.553331594100e-05       4.538944339335e-04       1.858743859596e-06       5.097538855463e+02       1.499060571156e+03 
       7.279234067888e-04      -2.278115926373e-02      -4.232051894279e-02      -5.673335432200e-03      -4.231117274090e-04       3.221927648745e-02      -6.706997409510e-02      -2.667391371978e-04       2.320964782868e-04      -3.642913833888e-02       8.636982110713e-05       5.188058684251e-04       2.379647575226e-06       5.430690490068e+02       1.597032257852e+03 
       7.783710154798e-04      -2.773999127913e-02      -5.153671808990e-02      -6.901487485997e-03      -5.153665438394e-04       3.699804318958e-02      -7.640342212172e-02      -4.648613073520e-04       7.077345149687e-05      -4.435558614831e-02       9.875935942762e-05       5.930776295750e-04       3.053121996635e-06       5.785145191144e+02       1.701268651485e+03 
       8.323032229236e-04      -3.377041844821e-02      -6.274576220757e-02      -8.393075065777e-03      -6.276072395102e-04       4.220293759578e-02      -8.749822493838e-02      -4.820721938338e-04       2.583090364097e-04      -5.399573032752e-02       1.129404649537e-04       6.779359759663e-04       3.921864149696e-06       6.161637423276e+02       1.811985739965e+03 
       8.898596308005e-04      -4.108800211437e-02      -7.634894584035e-02      -1.020051247120e-02      -7.638707062094e-04       4.827323695549e-02      -9.993338987001e-02      -6.247628078273e-04       2.978442051918e-04      -6.569459814175e-02       1.291084054169e-04       7.747170398619e-04       5.039956933846e-06       6.560669988832e+02       1.929331385112e+03 
       9.511477507798e-04      -4.994172571428e-02      -9.280979245543e-02      -1.238414027783e-02      -9.288248980774e-04       5.518810398152e-02      -1.140726096137e-01      -8.053490248093e-04       3.517563165253e-04      -7.985077942127e-02       1.475136700358e-04       8.848218530040e-04       6.473438415764e-06       6.982472453575e+02       2.053373096558e+03 
       1.016237566123e-03      -6.061528707451e-02      -1.126567267072e-01      -1.501250599887e-02      -1.127796575648e-03       6.293214098773e-02      -1.302828115931e-01      -9.443802190387e-04       5.724862772315e-04      -9.691855799688e-02       1.683942235679e-04       1.009704391447e-03       8.298024654663e-06       7.426969493991e+02       2.184088723471e+03 
       1.085157739717e-03      -7.342743486414e-02      -1.364835742772e-01      -1.816235896156e-02      -1.366779589052e-03       7.185177570183e-02      -1.483347953271e-01      -1.259632286325e-03       6.221742294721e-04      -1.174084428509e-01       1.920113718115e-04       1.150841972286e-03       1.062131215574e-05       7.893763241106e+02       2.321361262450e+03 
       1.157893933083e-03      -8.873104576963e-02      -1.649479638666e-01      -2.191831727035e-02      -1.652420992028e-03       8.174228271629e-02      -1.689173549297e-01      -1.516271015083e-03       9.211285573366e-04      -1.418856896617e-01       2.186036488178e-04       1.309711343323e-03       1.356399117879e-05       8.382132081395e+02       2.464978504678e+03 
       1.234389463579e-03      -1.069109964751e-01      -1.987674076092e-01      -2.637225467765e-02      -1.991985163401e-03       9.296967801568e-02      -1.917617109154e-01      -1.953322326251e-03       1.106209917202e-03      -1.709669482327e-01       2.484209745116e-04       1.487745986039e-03       1.725586068246e-05       8.891049440714e+02       2.614638560053e+03 
