# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       1.047351731994e-05      -4.155843851471e-08      -1.992527873993e-08       1.707881034851e-09      -4.023275982865e-10       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.667707671175e+00 
       2.340743913420e-05      -4.212773219299e-07      -2.260095902786e-07       1.707881034851e-09      -4.366167707565e-09       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.968794140722e+00 
       3.638716748480e-05      -1.550755979645e-06      -8.556483984604e-07       1.707881034851e-09      -1.614918626636e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.219703146563e+01 
       4.944791378377e-05      -3.842163034737e-06      -2.115495308502e-06       1.707881034851e-09      -4.009250522988e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.639710765117e+01 
       6.262547613581e-05      -7.750933429832e-06      -4.265148237701e-06       1.707881034851e-09      -8.077112658094e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.059463307482e+01 
       7.595656116047e-05      -1.373420998859e-05      -7.555665698181e-06       1.707881034851e-09      -1.431325503400e-07       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.480891783715e+01 
       8.947911617944e-05      -2.231232713297e-05      -1.227909534690e-05       1.707881034851e-09      -2.326416548422e-07       1.181929392176e-03      -1.020497630294e-03      -7.663831497055e-06      -3.907062514061e-06      -5.237501840210e-08       1.252446092224e-08       1.707881034851e-09       2.905655388856e+01 
       1.032326762210e-04      -3.408247393149e-05      -1.875082588163e-05       1.707881034851e-09      -3.554412137012e-07      -3.736035307231e-04       3.338292585961e-04       1.543924455505e-06       1.294004530739e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.335288529053e+01 
       1.172587303275e-04      -4.971869409923e-05      -2.735057618578e-05       1.707881034851e-09      -5.185357701118e-07      -5.971566187799e-04       5.345252054699e-04       2.347197835564e-06       2.021561851585e-06      -9.108698852539e-09       1.707881034851e-09       1.252446092224e-08       3.771276248767e+01 
       1.316011116848e-04      -6.999124198291e-05      -3.851271733589e-05       1.252446092224e-08      -7.300070155481e-07      -4.778332331053e-04       4.259956279355e-04       2.206013003349e-06       1.902010179146e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.215100344637e+01 
       1.463064160994e-04      -9.579106218905e-05      -5.270463944183e-05       1.252446092224e-08      -9.992699761958e-07      -3.069654285053e-04       2.713822964378e-04       1.608823934830e-06       1.402739623291e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.668271376126e+01 
       1.614244532804e-04      -1.282032284685e-04      -7.053434815199e-05       2.391033448792e-08      -1.337381292320e-06      -1.521095779006e-05       9.705318627380e-06       1.759117465897e-07       1.320761333618e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.132353877372e+01 
       1.770087351978e-04      -1.684557072852e-04      -9.268556517401e-05       2.391033448792e-08      -1.757413270500e-06       2.425788827851e-04      -2.205364008556e-04      -1.366304827881e-06      -1.192670256004e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.608987891978e+01 
       1.931170053927e-04      -2.180457410131e-04      -1.199729497615e-04       3.472691437531e-08      -2.274910884246e-06       1.165668656843e-04      -1.077826642284e-04      -7.144635662460e-07      -6.387475070343e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.099908921570e+01 
       2.098118124213e-04      -2.787444022854e-04      -1.533734098664e-04       5.636007415009e-08      -2.908452690335e-06      -1.757739775195e-04       1.517879269724e-04       1.066287059425e-06       9.251022272110e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.606966911289e+01 
       2.271611294778e-04      -3.526905274513e-04      -1.940596904660e-04       7.799323392487e-08      -3.680342354901e-06      -1.047671156145e-05       4.069880506050e-06       9.962639369965e-08       6.717665403748e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.132145234882e+01 
       2.452390204812e-04      -4.424675712230e-04      -2.434436398824e-04       9.962639369965e-08      -4.617463543158e-06       1.396192745991e-04      -1.290651390974e-04      -8.886674318008e-07      -7.799323392487e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.677579629121e+01 
       2.641263503068e-04      -5.511605360430e-04      -3.032519258418e-04       1.428927132492e-07      -5.752339961878e-06      -1.051616361336e-04       8.724539478433e-05       6.859988823318e-07       5.772637897797e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       8.245577576832e+01 
