# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.047351731994e-05      -3.014448943072e-08      -2.795899680724e-09      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       2.548804199571e+01 
       2.340743913420e-05      -3.271412209255e-07      -3.034185810658e-08      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       5.537763028336e+01 
       3.638716748480e-05      -1.210000912091e-06      -1.122257208264e-07      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       8.476096724920e+01 
       4.944791378376e-05      -3.003990117562e-06      -2.786152952198e-07      -3.057107052383e-07       5.429207594716e-16      -3.056372162560e-07      -3.057107052383e-07       3.057107052383e-07      -3.056372162560e-07       1.139486036484e+02 
       6.262547613581e-05      -6.048866251076e-06      -5.613036926249e-07      -3.057107052383e-07       7.126602218589e-02      -3.499854624803e-02      -3.057107052383e-07       3.057107052383e-07      -5.726747665482e-05       1.431185141037e+02 
       7.595656116047e-05      -1.071793863861e-05      -9.946726339683e-07      -2.175982090053e-01       6.760002282107e-03      -2.569809442606e-03      -5.695001611008e-03       1.848940053163e-03      -9.617250625145e-05       1.724048903916e+02 
       8.947911617944e-05      -1.741863141862e-05      -1.616699249090e-06      -2.239816113487e-01       1.809606694796e-03      -2.701277199088e-03      -3.798948520912e-03       6.175356245815e-05      -1.510775681954e-04       2.019230348735e+02 
       1.032326762210e-04      -2.661011135387e-05      -2.470071595018e-06      -2.247936683609e-01      -2.975172542538e-04      -1.686549750965e-03      -4.873139084473e-03       2.257647939970e-05      -2.256180860360e-04       2.317795786200e+02 
       1.172587303275e-04      -3.881581118044e-05      -3.603466427676e-06      -2.250183833774e-01       2.570210641769e-03      -1.278754692745e-03      -6.284233661786e-03       2.751737923352e-05      -3.239340624658e-04       2.620777223464e+02 
       1.316011116848e-04      -5.463947796317e-05      -5.073045917237e-06      -2.252800819883e-01       1.890991717749e-03      -1.006665681702e-03      -7.910335659752e-03       3.039458948357e-05      -4.507984553497e-04       2.929204399199e+02 
