# Monopole moment of PT power spectra P_vv, P_vd, P_dd, P_CTR, Id2d2, Ib1b2, Ib2, Ib1bG2, IbG2(k), Id2G2, IG2G2, IFG2b1, IFG2, Ptree_vv, Ptree_vd, Ptree_dd at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Id2d2 (Mpc/h)^3        7:Ib1b2 (Mpc/h)^3        8:Ib2 (Mpc/h)^3          9:Ib1bG2 (Mpc/h)^3      10:IbG2 (Mpc/h)^3        11:Id2G2 (Mpc/h)^3       12:IG2G2 (Mpc/h)^3       13:IFG2b1 (Mpc/h)^3      14:IFG2 (Mpc/h)^3        15:PTree_vv (Mpc/h)^3    16:PTree_vd (Mpc/h)^3    17:PTree_dd (Mpc/h)^3 
       1.047351731994e-05      -3.074185862732e-08      -6.319159828949e-08      -4.155843851471e-08      -2.795899680724e-09      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       3.209244213701e+00       1.348228067006e+01       2.548804199222e+01 
       2.340743913420e-05      -2.914783632812e-07      -7.144635662460e-07      -4.326631954956e-07      -3.034185810658e-08      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       6.972694869645e+00       2.929282500820e+01       5.537763028452e+01 
       3.638716748480e-05      -1.073118583565e-06      -2.658601477585e-06      -1.616224752647e-06      -1.122257208264e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.067240253677e+01       4.483558015550e+01       8.476096724795e+01 
       4.944791378376e-05      -2.658601477585e-06      -6.599821612343e-06      -4.015797606613e-06      -2.786152952198e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.434746918894e+01       6.027481655599e+01       1.139486036497e+02 
       6.262547613581e-05      -5.351360575867e-06      -1.328902233218e-05      -8.076569413811e-06      -5.613036937587e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07      -1.707881034851e-09      -1.707881034851e-09       1.802030394574e+01       7.570467656151e+01       1.431185140971e+02 
       7.595656116047e-05      -9.488417735954e-06      -2.354997158956e-05      -1.430919660366e-05      -9.946910844608e-07      -2.175982090053e-01       8.984211403909e-03       1.935731720885e-03      -6.559255452709e-03      -1.480514248443e-03      -5.695001611008e-03       1.848940053163e-03      -9.617476612821e-05      -2.544344236353e-05       2.171557215715e+01       9.122396443509e+01       1.724362409006e+02 
       8.947911617944e-05      -1.541704210160e-05      -3.826336670480e-05      -2.324596876536e-05      -1.616339799268e-06      -2.239816113487e-01       2.575574548957e-03       2.371170792356e-04      -1.568195722185e-03      -4.660556854890e-04      -3.798948520912e-03       6.175356245815e-05      -1.510427215475e-04      -3.996100045345e-05       2.542520518800e+01       1.068075941500e+02       2.018932219072e+02 
       1.032326762210e-04      -2.356078816945e-05      -5.845962923560e-05      -3.550513883352e-05      -2.469522124463e-06      -2.247936683609e-01      -7.761750009720e-06      -7.182277360468e-04       1.268027660199e-04       4.580992370413e-05      -4.873139084473e-03       2.257647939970e-05      -2.255638333285e-04      -5.966880900827e-05       2.918459501065e+01       1.226002449417e+02       2.317453056449e+02 
       1.172587303275e-04      -3.436484359592e-05      -8.528019300690e-05      -5.179263096922e-05      -3.602664850476e-06      -2.250183833774e-01       3.723233030994e-03       2.269318460374e-04      -3.255995491829e-03      -9.976296725307e-04      -6.284233661786e-03       2.751737923352e-05      -3.238649113451e-04      -8.567471352595e-05       3.299959481749e+01       1.386265053339e+02       2.620389706951e+02 
       1.316011116848e-04      -4.837231455009e-05      -1.200594824006e-04      -7.290147126630e-05      -5.071917467361e-06      -2.252800819883e-01       2.987705598651e-03      -2.391329481504e-04      -2.533508869775e-03      -7.736097636576e-04      -7.910335659752e-03       3.039458948357e-05      -4.507024042794e-04      -1.192271750430e-04       3.688316478518e+01       1.549408190991e+02       2.928771295501e+02 
