# Quadrupole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib1b2 (Mpc/h)^3        7:Ib2 (Mpc/h)^3          8:Ib1bG2 (Mpc/h)^3       9:IbG2 (Mpc/h)^3        10:IFG2 (Mpc/h)^3        11:Ib2b2 (Mpc/h)^3       12:Ib2bG2 (Mpc/h)^3      13:IbG2bG2 (Mpc/h)^3     14:Ptree_vv (Mpc/h)^3    15:Ptree_vd (Mpc/h)^3 
       1.047351731994e-05      -8.482475806427e-08      -1.502935310669e-07      -1.992527873993e-08      -1.478932913471e-09       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       9.169269186477e+00       2.696456132816e+01 
       2.340743913420e-05      -8.664649783478e-07      -1.604838879082e-06      -2.151930103912e-07      -1.604977922457e-08       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.992198534583e+01       5.858565002323e+01 
       3.638716748480e-05      -3.211954932877e-06      -5.948549644386e-06      -8.123820789108e-07      -5.936347194876e-08       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.049257866038e+01       8.967116031270e+01 
       4.944791378377e-05      -7.968403614937e-06      -1.477658671353e-05      -2.017576795837e-06      -1.473777235778e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.099276911426e+01       1.205496331279e+02 
       6.262547613581e-05      -1.604668090978e-05      -2.977178219952e-05      -4.059063926163e-06      -2.969099760181e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.148658269389e+01       1.514093531281e+02 
       7.595656116047e-05      -2.843621923027e-05      -5.275929163494e-05      -7.186194100975e-06      -5.261469523551e-07       3.057107052383e-07       3.057107052383e-07      -3.057107052383e-07      -3.057107052383e-07      -1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.202229461167e+01       1.823922857958e+02 
       8.947911617944e-05      -5.092388881615e-05      -9.446631579968e-05       2.295485144813e-01      -9.420795453822e-07       4.808401284553e-03       6.166441676106e-03      -3.726012892025e-03      -6.165508034474e-03      -8.779248600916e-05       1.526902574525e-05       4.866322361969e-06      -1.246753155441e-06       8.039180416158e+01       2.362772217925e+02 
       1.032326762210e-04      -7.189154428102e-05      -1.333502126138e-04       2.414351142867e-01      -1.329937197830e-06      -7.031562552080e-04      -3.607934551625e-03       1.205575574397e-03       2.021259556642e-03      -1.211491105008e-04       1.706742447495e-06       1.043686100397e-05      -4.155843851471e-08       8.456731599097e+01       2.485493463734e+02 
       1.172587303275e-04      -1.045644470651e-04      -1.939617719533e-04       2.717501723049e-01      -1.934467192378e-06      -1.325636764679e-03      -5.348647322196e-03       1.933338979555e-03       3.232581012134e-03      -1.735195745535e-04       2.227646163124e-06       1.345525608624e-05      -3.074185862732e-08       9.520201232249e+01       2.798054724867e+02 
       1.316011116848e-04      -1.471948655760e-04      -2.730434953911e-04       3.036651749843e-01      -2.723357883844e-06      -6.747075115168e-04      -5.083245455849e-03       1.538027711586e-03       2.582042294436e-03      -2.415689557998e-04       2.759935752319e-06       1.698430759792e-05      -9.108698852539e-09       1.064035824818e+02       3.127276804164e+02 
       1.463064160994e-04      -2.014650626331e-04      -3.737447155553e-04       3.362378724030e-01      -3.727868206973e-06       1.938570219165e-04      -4.572314057581e-03       9.761695780341e-04       1.653821476455e-03      -3.279370690259e-04       3.400391140388e-06       2.100238237924e-05       1.252446092224e-08       1.178433021754e+02       3.463498259584e+02 
       1.614244532804e-04      -2.696231789719e-04      -5.001802871527e-04       3.695698225681e-01      -4.989219246657e-06       1.535023548845e-03      -3.402037537706e-03       2.588464496420e-05       7.849364306808e-05      -4.361193774165e-04       4.127948461235e-06       2.558462719575e-05       4.554349426270e-08       1.295581824167e+02       3.807806870643e+02 
       1.770087351978e-04      -3.542754410517e-04      -6.572364578239e-04       4.037752468553e-01      -6.556180886866e-06       2.792341087075e-03      -2.511071867326e-03      -8.114837334865e-04      -1.310742903468e-03      -5.702426908454e-04       4.975057454521e-06       3.077487766066e-05       6.717665403748e-08       1.415899323892e+02       4.161428497620e+02 
       1.931170053927e-04      -4.585597956271e-04      -8.507223002622e-04       4.389733906570e-01      -8.486743606193e-06       2.699219442943e-03      -4.025907693046e-03      -4.041523987935e-04      -6.298443231996e-04      -7.352359539792e-04       5.919515666794e-06       3.660558351364e-05       5.636007415009e-08       1.539823301574e+02       4.525649807379e+02 
       2.098118124213e-04      -5.862221951011e-04      -1.087587751692e-03       4.752907880327e-01      -1.085021456880e-05       2.045846781314e-03      -6.649658719527e-03       5.390425508071e-04       9.440830477387e-04      -9.369856634515e-04       7.027361164734e-06       4.319686572081e-05       5.636007415009e-08       1.667820486908e+02       4.901842549204e+02 
       2.271611294778e-04      -7.417361491979e-04      -1.376150192753e-03       5.128622243843e-01      -1.372979735649e-05       3.107539071462e-03      -6.610373470670e-03       1.116384903114e-06       5.419220382318e-05      -1.182548214404e-03       8.210922721886e-06       5.063468762759e-05       6.717665403748e-08       1.800391448900e+02       5.291477928107e+02 
       2.452390204812e-04      -9.305207644409e-04      -1.726453671811e-03       5.518320520942e-01      -1.722578087238e-05       4.175887543296e-03      -6.777842592011e-03      -4.869800746343e-04      -7.530001939164e-04      -1.480427146511e-03       9.611385170464e-06       5.900672046043e-05       8.880981381226e-08       1.938075246475e+02       5.696140274098e+02 
       2.641263503068e-04      -1.159112101551e-03      -2.150637237969e-03       5.923550786228e-01      -2.145949356874e-05       3.868442769514e-03      -9.485138604367e-03       3.009388856270e-04       5.649505368121e-04      -1.840915858767e-03       1.113196858516e-05       6.843194659809e-05       8.880981381226e-08       2.081454277192e+02       6.117541290661e+02 
       2.839115330950e-04      -1.435447822283e-03      -2.663447874668e-03       6.345975365857e-01      -2.657821007561e-05       4.991539645095e-03      -1.008644480477e-02      -1.130161810129e-04      -1.169363372815e-04      -2.276490422133e-03       1.289108605106e-05       7.907318403257e-05       1.212595534744e-07       2.231159069649e+02       6.557534141467e+02 
       3.046913073430e-04      -1.769203072701e-03      -3.282833703704e-03       6.787380891259e-01      -3.276125137430e-05       5.870365127786e-03      -1.141099820358e-02      -2.355207797617e-04      -3.128217525738e-04      -2.802363502281e-03       1.483465466872e-05       9.106080101619e-05       1.428927132492e-07       2.387873078396e+02       7.018127543003e+02 
       3.265715193731e-04      -2.172158816183e-03      -4.030696022174e-03       7.249685085117e-01      -4.022756728312e-05       6.195531444479e-03      -1.401942839859e-02       2.153529819148e-04       4.480272932851e-04      -3.437092365240e-03       1.707140953069e-05       1.045900652806e-04       1.645258730240e-07       2.552337226578e+02       7.501499114777e+02 
       3.496678873628e-04      -2.658767711339e-03      -4.933833760689e-03       7.734941048154e-01      -4.924515446486e-05       7.732648855473e-03      -1.501834809059e-02      -3.085981627746e-04      -4.131648870144e-04      -4.203392398069e-03       1.955808431744e-05       1.199006494644e-04       2.083614862518e-07       2.725353953316e+02       8.010007274042e+02 
       3.741067060224e-04      -3.246718282047e-03      -6.025126475640e-03       8.245338921464e-01      -6.014273477717e-05       8.391211198274e-03      -1.795412670497e-02       5.465959393305e-05       2.058953060375e-04      -5.129104908103e-03       2.241366140771e-05       1.372305183250e-04       2.408112259140e-07       2.907790454534e+02       8.546200762807e+02 
       4.000254369668e-04      -3.957759823993e-03      -7.344955875506e-03       8.783202527686e-01      -7.332419821293e-05       9.781457671795e-03      -2.021113532814e-02      -1.028201312348e-04      -3.960234543613e-05      -6.248444445407e-03       2.562789351530e-05       1.568842439804e-04       2.948941253510e-07       3.100580721648e+02       9.112824636403e+02 
       4.275731119149e-04      -4.818637184889e-03      -8.942988848664e-03       9.350979231877e-01      -8.928638572248e-05       1.124166464544e-02      -2.297422212097e-02      -1.753219583390e-04      -1.397820925911e-04      -7.603498322324e-03       2.929812985919e-05       1.792199121542e-04       3.711794782410e-07       3.304725764404e+02       9.712820920891e+02 
       4.569104556571e-04      -5.862239029822e-03      -1.088035785817e-02       9.951220562760e-01      -1.086408537769e-04       1.257922640480e-02      -2.665977417269e-02       2.563472503944e-05       2.204566997406e-04      -9.246051199711e-03       3.346763675894e-05       2.046286276033e-04       4.577121173401e-07       3.521291327718e+02       1.034932190073e+03 
       4.882096147796e-04      -7.129036446382e-03      -1.323223642635e-02       1.058655326983e+00      -1.321403002957e-04       1.470347972725e-02      -2.986035746434e-02      -2.718531023098e-04      -2.435563600307e-04      -1.123978654560e-02       3.822351614732e-05       2.335988443038e-04       5.772637897797e-07       3.751402268255e+02       1.102563359097e+03 
       5.216533592001e-04      -8.668813597441e-03      -1.609108353951e-02       1.125963463950e+00      -1.607103164071e-04       1.646099007709e-02      -3.462779863803e-02      -2.784301521750e-05       2.025290725178e-04      -1.366305909539e-02       4.364205337723e-05       2.666628518449e-04       7.184486219940e-07       3.996232668438e+02       1.174520668142e+03 
       5.574336111076e-04      -1.054257428568e-02      -1.957031502282e-02       1.197309544047e+00      -1.954870317351e-04       1.902103543309e-02      -3.915759272008e-02      -2.325348344191e-04      -8.861739254900e-05      -1.661195480540e-02       4.985304740730e-05       3.044611056145e-04       9.028997737579e-07       4.256990704821e+02       1.251159206377e+03 
       5.957491561832e-04      -1.282501325746e-02      -2.380872353645e-02       1.272946341070e+00      -2.378610087067e-04       2.163013853323e-02      -4.487491747480e-02      -1.881020321227e-04       4.857839886163e-05      -2.020407039359e-02       5.695441675021e-05       3.476989604802e-04       1.152819698524e-06       4.534897442336e+02       1.332837850467e+03 
       6.368024128256e-04      -1.560709111810e-02      -2.897537507052e-02       1.353106769000e+00      -2.895273457104e-04       2.467640224892e-02      -5.132307868195e-02      -1.937704892774e-04       1.194947430717e-04      -2.458266121327e-02       6.508734623817e-05       3.972030308627e-04       1.456822522728e-06       4.831158823258e+02       1.419911032054e+03 
       6.807951847174e-04      -1.899903223242e-02      -3.527521022556e-02       1.437992739798e+00      -3.525413800531e-04       2.833751224586e-02      -5.842145297082e-02      -3.486115382464e-04      -3.576929110024e-05      -2.992135329691e-02       7.441465386317e-05       4.538944339335e-04       1.858743859596e-06       5.146930746686e+02       1.512718474224e+03 
       7.279234067888e-04      -2.313349341334e-02      -4.295486751758e-02       1.527762136248e+00      -4.293785895269e-04       3.221611633824e-02      -6.707347012758e-02      -2.644585467225e-04       2.358646331434e-04      -3.642917078861e-02       8.508834103732e-05       5.187950518452e-04       2.379647575226e-06       5.483277696395e+02       1.611573032035e+03 
       7.783710154798e-04      -2.816882255887e-02      -5.230884939787e-02       1.622515256510e+00      -5.229963297920e-04       3.699953075396e-02      -7.639877497742e-02      -4.665663419184e-04       6.777612028071e-05      -4.435562941463e-02       9.730424478593e-05       5.930668129951e-04       3.053121996635e-06       5.841126417003e+02       1.716747077564e+03 
       8.323032229236e-04      -3.429221937067e-02      -6.368535182031e-02       1.722280540788e+00      -6.368940401074e-04       4.220138513191e-02      -8.749842020611e-02      -4.812683511601e-04       2.595250477065e-04      -5.399578497971e-02       1.112570635470e-04       6.779251593864e-04       3.921864149696e-06       6.221217237792e+02       1.828458193579e+03 
       8.898596308005e-04      -4.172253514030e-02      -7.749157632062e-02       1.827001014172e+00      -7.751676300900e-04       4.827191220910e-02      -9.993285814971e-02      -6.242305182381e-04       2.985501293529e-04      -6.569466304123e-02       1.271972865389e-04       7.747062232820e-04       5.039956933846e-06       6.624056466492e+02       1.946855181921e+03 
       9.511477507798e-04      -5.071253170657e-02      -9.419793197305e-02       1.936524562528e+00      -9.425531680619e-04       5.518907007289e-02      -1.140678321011e-01      -8.067711204177e-04       3.491068237466e-04      -7.985085570662e-02       1.453201814934e-04       8.848104671305e-04       6.473438415764e-06       7.049874435639e+02       2.072005732989e+03 
       1.016237566123e-03      -6.155023979024e-02      -1.143405955040e-01       2.050591148445e+00      -1.144454966781e-03       6.292850377042e-02      -1.302853631674e-01      -9.420779954037e-04       5.760369619030e-04      -9.691863428224e-02       1.658967322013e-04       1.009693574867e-03       8.298024654663e-06       7.498593510936e+02       2.203887023142e+03 
       1.085157739717e-03      -7.455925104170e-02      -1.385221221443e-01       2.168842867804e+00      -1.386953938067e-03       7.185331734911e-02      -1.483281391454e-01      -1.261684590035e-03       6.183087253966e-04      -1.174085293836e-01       1.891666113011e-04       1.150831155706e-03       1.062131215574e-05       7.969810401168e+02       2.342380515937e+03 
       1.157893933083e-03      -9.009776219685e-02      -1.674097616582e-01       2.290794382374e+00      -1.676793375202e-03       8.173878668381e-02      -1.689186472264e-01      -1.514261977692e-03       9.239733178470e-04      -1.418857761943e-01       2.153677835505e-04       1.309689710163e-03       1.356399117879e-05       8.462794679101e+02       2.487271526443e+03 
       1.234389463579e-03      -1.085564590125e-01      -2.017315268015e-01       2.415924901158e+00      -2.021342608205e-03       9.296960229962e-02      -1.917566402166e-01      -1.954212701563e-03       1.104016428660e-03      -1.709670353347e-01       2.447399215878e-04       1.487724352879e-03       1.725586068246e-05       8.976508536753e+02       2.638255030539e+03 
