# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       1.047351731994e-05      -4.155843851471e-08      -1.992527873993e-08       1.707881034851e-09      -4.023275982865e-10       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.667707671175e+00 
       2.340743913420e-05      -4.212773219299e-07      -2.260095902786e-07       1.707881034851e-09      -4.366167707565e-09       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.968794140722e+00 
       3.638716748480e-05      -1.550755979645e-06      -8.556483984604e-07      -1.992527873993e-08      -1.614918626636e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.219703146563e+01 
       4.944791378376e-05      -3.842163034737e-06      -2.115495308502e-06      -7.400817817688e-08      -4.009250522988e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       1.639710765117e+01 
       6.262547613581e-05      -7.750933429832e-06      -4.265148237701e-06      -1.827432707291e-07      -8.077112658092e-08       3.057107052383e-07      -3.057107052383e-07       3.057107052383e-07       3.057107052383e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.059463307482e+01 
       7.595656116047e-05      -1.372282411503e-05      -7.554685943761e-03      -2.692759098282e-07      -1.431618933965e-07       9.962292100821e-04      -7.277981320725e-04      -4.080697085937e-06      -3.928695673836e-06       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.481209651175e+01 
       8.947911617944e-05      -2.231232713297e-05      -8.849552385129e-03      -3.131115230560e-07      -2.326332936719e-07       2.794104758890e-04      -1.779059823447e-04      -3.888275822678e-07      -1.394769511795e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       2.905070313446e+01 
       1.032326762210e-04      -3.408247393149e-05      -1.016390916487e-02      -3.563778426056e-07      -3.554283928007e-07      -1.782743153545e-05       1.466785162098e-05      -4.155843851471e-08      -4.155843851471e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.334616148017e+01 
       1.172587303275e-04      -4.971869409923e-05      -1.150026516021e-02      -3.996441621552e-07      -5.185170611658e-07       4.030661864553e-04      -3.713707609169e-04       5.556306300049e-07       5.123643104553e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       3.770515936394e+01 
       1.316011116848e-04      -6.998042540302e-05      -1.286363698706e-02      -4.434797753830e-07      -7.299806656599e-07       3.134627772555e-04      -2.888681517663e-04       4.144457977905e-07       3.819960581284e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.214250497967e+01 
       1.463064160994e-04      -9.579106218905e-05      -1.425924734562e-02      -4.975626748199e-07      -9.992338890339e-07       1.932598328480e-04      -1.789050927501e-04       2.408112259140e-07       2.191780661392e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       4.667330085919e+01 
       1.614244532804e-04      -1.281924118886e-04      -1.569256885602e-02      -5.408289943695e-07      -1.337332961323e-06      -1.490621488408e-04       1.317214634002e-04      -1.935598506165e-07      -1.719266908417e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.131318908581e+01 
       1.770087351978e-04      -1.684448907053e-04      -1.716945442655e-02      -5.846646075974e-07      -1.757349730303e-06       9.752570002678e-06      -1.292353579072e-05       1.252446092224e-08       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       5.607856706691e+01 
       1.931170053927e-04      -2.180349244332e-04      -1.869619076733e-02      -6.279309271469e-07      -2.274828579765e-06       2.646361663502e-05      -2.810375172215e-05       2.391033448792e-08       2.391033448792e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.098678591911e+01 
       2.098118124213e-04      -2.787335857055e-04      -2.027960826388e-02      -6.603806668091e-07      -2.908347392139e-06       1.251079787396e-05      -1.608311570519e-05       1.252446092224e-08       1.252446092224e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       6.605634148846e+01 
       2.271611294778e-04      -3.526905274513e-04      -2.192717775716e-02      -7.036469863586e-07      -3.680208987633e-06      -7.018707900824e-05       5.810154351196e-05      -8.482475806427e-08      -8.482475806427e-08       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.130706320175e+01 
       2.452390204812e-04      -4.424567546431e-04      -2.364716140632e-02      -7.366660196991e-07      -4.617296107766e-06       1.026681298227e-04      -9.777106560212e-05       1.212595534744e-07       1.104429735870e-07       1.707881034851e-09       1.707881034851e-09       1.707881034851e-09       7.676030453728e+01 
